school_year,county_code,county_name,district_code,district_name,absentee_students,total_students,chronically_absent_rate
2016-2017,01,ADAMS,0010,MAPLETON 1,2296,8380,0.2739856801909308
2016-2017,01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,8551,37688,0.22688919549989386
2016-2017,01,ADAMS,0030,ADAMS COUNTY 14,2535,6876,0.36867364746945896
2016-2017,01,ADAMS,0040,SCHOOL DISTRICT 27J,5822,16578,0.351188321872361
2016-2017,01,ADAMS,0050,BENNETT 29J,8,1029,0.007774538386783284
2016-2017,01,ADAMS,0060,STRASBURG 31J,140,937,0.14941302027748132
2016-2017,01,ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,3949,9048,0.4364500442086649
2016-2017,02,ALAMOSA,0100,ALAMOSA RE-11J,408,2339,0.17443351859769132
2016-2017,02,ALAMOSA,0110,SANGRE DE CRISTO RE-22J,74,281,0.26334519572953735
2016-2017,03,ARAPAHOE,0120,ENGLEWOOD 1,1113,2554,0.43578700078308535
2016-2017,03,ARAPAHOE,0123,SHERIDAN 2,7,1355,0.0051660516605166054
2016-2017,03,ARAPAHOE,0130,CHERRY CREEK 5,9907,53087,0.1866181927778929
2016-2017,03,ARAPAHOE,0140,LITTLETON 6,1581,14859,0.10640016151827175
2016-2017,03,ARAPAHOE,0170,DEER TRAIL 26J,0,172,0
2016-2017,03,ARAPAHOE,0180,ADAMS-ARAPAHOE 28J,1192,39881,0.029888919535618466
2016-2017,03,ARAPAHOE,0190,BYERS 32J,1601,2980,0.5372483221476511
2016-2017,04,ARCHULETA,0220,ARCHULETA COUNTY 50 JT,5,1568,0.0031887755102040817
2016-2017,05,BACA,0230,WALSH RE-1,18,134,0.13432835820895522
2016-2017,05,BACA,0240,PRITCHETT RE-3,3,38,0.07894736842105263
2016-2017,05,BACA,0250,SPRINGFIELD RE-4,50,276,0.18115942028985507
2016-2017,05,BACA,0260,VILAS RE-5,1,39,0.02564102564102564
2016-2017,05,BACA,0270,CAMPO RE-6,6,32,0.1875
2016-2017,06,BENT,0290,LAS ANIMAS RE-1,255,1147,0.22231909328683522
2016-2017,06,BENT,0310,MC CLAVE RE-2,0,242,0
2016-2017,07,BOULDER,0470,ST VRAIN VALLEY RE 1J,5085,30761,0.16530671954747894
2016-2017,07,BOULDER,0480,BOULDER VALLEY RE 2,4296,30271,0.1419180073337518
2016-2017,08,CHAFFEE,0490,BUENA VISTA R-31,3,910,0.0032967032967032967
2016-2017,08,CHAFFEE,0500,SALIDA R-32,181,1168,0.15496575342465754
2016-2017,09,CHEYENNE,0510,KIT CARSON R-1,1,114,0.008771929824561403
2016-2017,09,CHEYENNE,0520,CHEYENNE COUNTY RE-5,0,170,0
2016-2017,10,CLEAR CREEK,0540,CLEAR CREEK RE-1,7,785,0.008917197452229299
2016-2017,11,CONEJOS,0550,NORTH CONEJOS RE-1J,1,963,0.0010384215991692627
2016-2017,11,CONEJOS,0560,SANFORD 6J,79,369,0.2140921409214092
2016-2017,11,CONEJOS,0580,SOUTH CONEJOS RE-10,49,212,0.23113207547169812
2016-2017,12,COSTILLA,0640,CENTENNIAL R-1,55,199,0.27638190954773867
