school_year,county_code,county_name,district_code,district_name,absentee_students,total_students,chronically_absent_rate
2016-2017,12,COSTILLA,0740,SIERRA GRANDE R-30,49,263,0.18631178707224336
2016-2017,13,CROWLEY,0770,CROWLEY COUNTY RE-1-J,71,437,0.16247139588100687
2016-2017,14,CUSTER,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,67,347,0.1930835734870317
2016-2017,15,DELTA,0870,DELTA COUNTY 50(J),1112,4713,0.23594313600678973
2016-2017,16,DENVER,0880,DENVER COUNTY 1,30483,86139,0.3538815170828545
2016-2017,17,DOLORES,0890,DOLORES COUNTY RE NO.2,65,246,0.26422764227642276
2016-2017,18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,318,65628,0.004845492777473029
2016-2017,19,EAGLE,0910,EAGLE COUNTY RE 50,1405,6628,0.21197948098974048
2016-2017,20,ELBERT,0920,ELIZABETH C-1,9,2399,0.003751563151313047
2016-2017,20,ELBERT,0930,KIOWA C-2,45,257,0.17509727626459143
2016-2017,20,ELBERT,0940,BIG SANDY 100J,0,280,0
2016-2017,20,ELBERT,0950,ELBERT 200,46,200,0.23
2016-2017,20,ELBERT,0960,AGATE 300,0,5,0
2016-2017,21,EL PASO,0970,CALHAN RJ-1,0,424,0
2016-2017,21,EL PASO,0980,HARRISON 2,3095,11746,0.2634939553890686
2016-2017,21,EL PASO,0990,WIDEFIELD 3,2261,9181,0.24626946955669318
2016-2017,21,EL PASO,1000,FOUNTAIN 8,78,7826,0.009966777408637873
2016-2017,21,EL PASO,1010,COLORADO SPRINGS 11,9661,27245,0.3545971737933566
2016-2017,21,EL PASO,1020,CHEYENNE MOUNTAIN 12,995,5077,0.19598187906243844
2016-2017,21,EL PASO,1030,MANITOU SPRINGS 14,217,1446,0.15006915629322268
2016-2017,21,EL PASO,1040,ACADEMY 20,2644,25218,0.10484574510270442
2016-2017,21,EL PASO,1050,ELLICOTT 22,0,957,0
2016-2017,21,EL PASO,1060,PEYTON 23 JT,6,632,0.00949367088607595
2016-2017,21,EL PASO,1070,HANOVER 28,72,249,0.2891566265060241
2016-2017,21,EL PASO,1080,LEWIS-PALMER 38,534,6324,0.08444022770398482
2016-2017,21,EL PASO,1110,FALCON 49,3611,20505,0.17610338941721532
2016-2017,21,EL PASO,1120,EDISON 54 JT,0,222,0
2016-2017,21,EL PASO,1130,MIAMI/YODER 60 JT,1,275,0.0036363636363636364
2016-2017,22,FREMONT,1140,CANON CITY RE-1,26,3626,0.007170435741864313
2016-2017,22,FREMONT,1150,FREMONT RE-2,0,1318,0
2016-2017,22,FREMONT,1160,COTOPAXI RE-3,31,187,0.1657754010695187
2016-2017,23,GARFIELD,1180,ROARING FORK RE-1,1507,5410,0.27855822550831794
2016-2017,23,GARFIELD,1195,GARFIELD RE-2,1242,4734,0.2623574144486692
2016-2017,23,GARFIELD,1220,GARFIELD 16,8,1092,0.007326007326007326
2016-2017,24,GILPIN,1330,GILPIN COUNTY RE-1,4,402,0.009950248756218905
2016-2017,25,GRAND,1340,WEST GRAND 1-JT,71,423,0.16784869976359337
2016-2017,25,GRAND,1350,EAST GRAND 2,76,1188,0.06397306397306397
2016-2017,26,GUNNISON,1360,GUNNISON WATERSHED RE1J,396,1975,0.20050632911392405
2016-2017,27,HINSDALE,1380,HINSDALE COUNTY RE 1,40,96,0.4166666666666667
2016-2017,28,HUERFANO,1390,HUERFANO RE-1,244,526,0.46387832699619774
2016-2017,28,HUERFANO,1400,LA VETA RE-2,47,214,0.21962616822429906
2016-2017,29,JACKSON,1410,NORTH PARK R-1,39,170,0.22941176470588234
2016-2017,30,JEFFERSON,1420,JEFFERSON COUNTY R-1,19901,83422,0.23855817410275468
2016-2017,31,KIOWA,1430,EADS RE-1,13,176,0.07386363636363637
2016-2017,31,KIOWA,1440,PLAINVIEW RE-2,5,58,0.08620689655172414
2016-2017,32,KIT CARSON,1450,ARRIBA-FLAGLER C-20,28,173,0.16184971098265896
2016-2017,32,KIT CARSON,1460,HI-PLAINS R-23,0,90,0
2016-2017,32,KIT CARSON,1480,STRATTON R-4,20,190,0.10526315789473684
2016-2017,32,KIT CARSON,1490,BETHUNE R-5,27,104,0.25961538461538464
2016-2017,32,KIT CARSON,1500,BURLINGTON RE-6J,1,716,0.0013966480446927375
2016-2017,33,LAKE,1510,LAKE COUNTY R-1,178,931,0.19119226638023631
2016-2017,34,LA PLATA,1520,DURANGO 9-R,290,4895,0.059244126659857
2016-2017,34,LA PLATA,1530,BAYFIELD 10 JT-R,149,1340,0.11119402985074626
2016-2017,34,LA PLATA,1540,IGNACIO 11 JT,1,869,0.0011507479861910242
2016-2017,35,LARIMER,1550,POUDRE R-1,5636,28832,0.1954772475027747
2016-2017,35,LARIMER,1560,THOMPSON R2-J,3939,15708,0.2507639419404125
2016-2017,35,LARIMER,1570,ESTES PARK R-3,291,1114,0.2612208258527828
2016-2017,36,LAS ANIMAS,1580,TRINIDAD 1,241,1040,0.23173076923076924
2016-2017,36,LAS ANIMAS,1590,PRIMERO REORGANIZED 2,9,183,0.04918032786885246
2016-2017,36,LAS ANIMAS,1600,HOEHNE REORGANIZED 3,2,354,0.005649717514124294
2016-2017,36,LAS ANIMAS,1620,AGUILAR REORGANIZED 6,0,111,0
2016-2017,36,LAS ANIMAS,1750,BRANSON REORGANIZED 82,1,470,0.002127659574468085
2016-2017,36,LAS ANIMAS,1760,KIM REORGANIZED 88,6,48,0.125
2016-2017,37,LINCOLN,1780,GENOA-HUGO C113,7,164,0.042682926829268296
2016-2017,37,LINCOLN,1790,LIMON RE-4J,64,479,0.1336116910229645
2017-2018,37,LINCOLN,1810,KARVAL RE-23,NA,NA,NA
2016-2017,38,LOGAN,1828,VALLEY RE-1,27,2104,0.012832699619771864
2016-2017,38,LOGAN,1850,FRENCHMAN RE-3,0,178,0
2016-2017,38,LOGAN,1860,BUFFALO RE-4J,90,306,0.29411764705882354
2016-2017,38,LOGAN,1870,PLATEAU RE-5,10,143,0.06993006993006994
2016-2017,39,MESA,1980,DE BEQUE 49JT,2,171,0.011695906432748537
2016-2017,39,MESA,1990,PLATEAU VALLEY 50,1,424,0.0023584905660377358
2016-2017,39,MESA,2000,MESA COUNTY VALLEY 51,281,21373,0.013147428999204604
2016-2017,40,MINERAL,2010,CREEDE SCHOOL DISTRICT,31,81,0.38271604938271603
2016-2017,41,MOFFAT,2020,MOFFAT COUNTY RE:NO 1,34,2064,0.016472868217054265
2016-2017,42,MONTEZUMA,2035,MONTEZUMA-CORTEZ RE-1,1104,2727,0.40484048404840484
2016-2017,42,MONTEZUMA,2055,DOLORES RE-4A,145,669,0.21674140508221226
2016-2017,42,MONTEZUMA,2070,MANCOS RE-6,66,458,0.14410480349344978
2016-2017,43,MONTROSE,2180,MONTROSE COUNTY RE-1J,1343,5966,0.22510895072075093
2016-2017,43,MONTROSE,2190,WEST END RE-2,1,261,0.0038314176245210726
2016-2017,44,MORGAN,2395,BRUSH RE-2(J),255,1472,0.17323369565217392
2016-2017,44,MORGAN,2405,FORT MORGAN RE-3,515,3022,0.17041694242223693
2016-2017,44,MORGAN,2505,WELDON VALLEY RE-20(J),48,208,0.23076923076923078
2016-2017,44,MORGAN,2515,WIGGINS RE-50(J),0,530,0
2016-2017,45,OTERO,2520,EAST OTERO R-1,37,1355,0.02730627306273063
2016-2017,45,OTERO,2530,ROCKY FORD R-2,184,805,0.22857142857142856
2016-2017,45,OTERO,2535,MANZANOLA 3J,32,127,0.25196850393700787
2016-2017,45,OTERO,2540,FOWLER R-4J,0,396,0
2016-2017,45,OTERO,2560,CHERAW 31,19,202,0.09405940594059406
2016-2017,45,OTERO,2570,SWINK 33,43,366,0.11748633879781421
2016-2017,46,OURAY,2580,OURAY R-1,87,173,0.5028901734104047
2016-2017,46,OURAY,2590,RIDGWAY R-2,74,304,0.24342105263157895
2016-2017,47,PARK,2600,PLATTE CANYON 1,194,907,0.21389195148842338
2016-2017,47,PARK,2610,PARK COUNTY RE-2,204,607,0.33607907742998355
2016-2017,48,PHILLIPS,2620,HOLYOKE RE-1J,1,581,0.0017211703958691911
2016-2017,48,PHILLIPS,2630,HAXTUN RE-2J,14,290,0.04827586206896552
2016-2017,49,PITKIN,2640,ASPEN 1,439,1670,0.262874251497006
2016-2017,50,PROWERS,2650,GRANADA RE-1,29,197,0.14720812182741116
2016-2017,50,PROWERS,2660,LAMAR RE-2,371,1446,0.2565698478561549
2016-2017,50,PROWERS,2670,HOLLY RE-3,43,285,0.15087719298245614
2016-2017,50,PROWERS,2680,WILEY RE-13 JT,0,247,0
2016-2017,51,PUEBLO,2690,PUEBLO CITY 60,5741,16482,0.34831937871617524
2016-2017,51,PUEBLO,2700,PUEBLO COUNTY 70,1767,9353,0.1889233401047792
2016-2017,52,RIO BLANCO,2710,MEEKER RE1,4,694,0.005763688760806916
2016-2017,52,RIO BLANCO,2720,RANGELY RE-4,0,496,0
2016-2017,53,RIO GRANDE,2730,DEL NORTE C-7,14,440,0.031818181818181815
2016-2017,53,RIO GRANDE,2740,MONTE VISTA C-8,447,1116,0.40053763440860213
2016-2017,53,RIO GRANDE,2750,SARGENT RE-33J,109,376,0.2898936170212766
2016-2017,54,ROUTT,2760,HAYDEN RE-1,58,380,0.15263157894736842
2016-2017,54,ROUTT,2770,STEAMBOAT SPRINGS RE-2,661,2526,0.26167854315122724
2016-2017,54,ROUTT,2780,SOUTH ROUTT RE 3,63,327,0.1926605504587156
2016-2017,55,SAGUACHE,2790,MOUNTAIN VALLEY RE 1,6,122,0.04918032786885246
2016-2017,55,SAGUACHE,2800,MOFFAT 2,11,191,0.05759162303664921
2016-2017,55,SAGUACHE,2810,CENTER 26 JT,172,596,0.28859060402684567
2016-2017,56,SAN JUAN,2820,SILVERTON 1,0,73,0
2016-2017,57,SAN MIGUEL,2830,TELLURIDE R-1,234,900,0.26
2016-2017,57,SAN MIGUEL,2840,NORWOOD R-2J,27,223,0.1210762331838565
2016-2017,58,SEDGWICK,2862,JULESBURG RE-1,53,589,0.0899830220713073
2016-2017,58,SEDGWICK,2865,REVERE SCHOOL DISTRICT,13,119,0.1092436974789916
2016-2017,59,SUMMIT,3000,SUMMIT RE-1,829,3398,0.24396703943496173
2016-2017,60,TELLER,3010,CRIPPLE CREEK-VICTOR RE-1,122,344,0.3546511627906977
2016-2017,60,TELLER,3020,WOODLAND PARK RE-2,3,2372,0.0012647554806070826
2016-2017,61,WASHINGTON,3030,AKRON R-1,57,362,0.1574585635359116
2016-2017,61,WASHINGTON,3040,ARICKAREE R-2,5,91,0.054945054945054944
2016-2017,61,WASHINGTON,3050,OTIS R-3,0,226,0
2016-2017,61,WASHINGTON,3060,LONE STAR 101,4,115,0.034782608695652174
2016-2017,61,WASHINGTON,3070,WOODLIN R-104,26,98,0.2653061224489796
2016-2017,62,WELD,3080,WELD COUNTY RE-1,1,1879,5.321979776476849e-4
2016-2017,62,WELD,3085,EATON RE-2,371,1878,0.19755058572949946
2016-2017,62,WELD,3090,WELD COUNTY SCHOOL DISTRICT RE-3J,11,2233,0.0049261083743842365
2016-2017,62,WELD,3100,WINDSOR RE-4,668,5881,0.113586124808706
2016-2017,62,WELD,3110,JOHNSTOWN-MILLIKEN RE-5J,11,3697,0.0029753854476602653
2016-2017,62,WELD,3120,GREELEY 6,545,21938,0.02484273862703984
2016-2017,62,WELD,3130,PLATTE VALLEY RE-7,2,1108,0.0018050541516245488
2016-2017,62,WELD,3140,WELD COUNTY S/D RE-8,36,2209,0.016296966953372568
2016-2017,62,WELD,3145,AULT-HIGHLAND RE-9,202,853,0.23681125439624853
2016-2017,62,WELD,3146,BRIGGSDALE RE-10,0,167,0
2016-2017,62,WELD,3147,PRAIRIE RE-11,57,203,0.28078817733990147
2016-2017,62,WELD,3148,PAWNEE RE-12,0,74,0
2016-2017,63,YUMA,3200,YUMA 1,104,759,0.1370223978919631
2016-2017,63,YUMA,3210,WRAY RD-2,232,628,0.36942675159235666
2016-2017,63,YUMA,3220,IDALIA RJ-3,2,206,0.009708737864077669
2016-2017,63,YUMA,3230,LIBERTY J-4,6,65,0.09230769230769231
