school_year,county_code,county_name,district_code,district_name,absentee_students,total_students,district_size,chronically_absent_rate,pct_diff,pct_enroll_diff
2019-2020,52,Rio Blanco,2720,Rangely Re-4,120,542,Small,0.221,0.04400000000000001,15.319148936170214
2019-2020,53,Rio Grande,2730,Upper Rio Grande School District C-7,85,445,Small,0.191,0.027999999999999997,8.009708737864077
2019-2020,53,Rio Grande,2740,Monte Vista C-8,340,1214,Intermediate,0.28,0.09700000000000003,10.968921389396709
2019-2020,53,Rio Grande,2750,Sargent Re-33j,51,370,Small,0.138,-0.025999999999999995,6.628242074927954
2019-2020,54,Routt,2760,Hayden Re-1,15,325,Small,0.046,-0.079,-18.75
2019-2020,54,Routt,2770,Steamboat Springs Re-2,361,2657,Intermediate,0.136,0.006000000000000005,0.7202426080363912
2019-2020,54,Routt,2780,South Routt Re 3,70,338,Small,0.207,-0.07599999999999998,8.681672025723472
2019-2020,55,Saguache,2790,Mountain Valley Re 1,25,178,Small,0.14,-0.16399999999999998,42.4
2019-2020,55,Saguache,2800,Moffat 2,81,259,Small,0.313,-0.194,23.923444976076556
2019-2020,55,Saguache,2810,Center 26 Jt,72,656,Small,0.11,-0.06699999999999999,9.698996655518394
2019-2020,56,San Juan,2820,Silverton 1,6,81,Micro,0.074,0.074,30.64516129032258
2019-2020,57,San Miguel,2830,Telluride R-1,106,917,Intermediate,0.116,-0.16200000000000003,0.6586169045005489
2019-2020,57,San Miguel,2840,Norwood R-2j,32,210,Small,0.152,-0.035,15.384615384615385
2019-2020,58,Sedgwick,2862,Julesburg Re-1,167,802,Intermediate,0.208,-0.059000000000000025,55.42635658914729
2019-2020,58,Sedgwick,2865,Revere School District,7,146,Small,0.048,-0.039999999999999994,7.352941176470588
2019-2020,59,Summit,3000,Summit Re-1,970,3699,Medium,0.262,-0.04199999999999998,7.591623036649215
2019-2020,60,Teller,3010,Cripple Creek-Victor Re-1,82,427,Small,0.192,-0.025999999999999995,24.127906976744185
2019-2020,60,Teller,3020,Woodland Park Re-2,747,2383,Intermediate,0.313,0.17200000000000001,5.723158828748891
2019-2020,61,Washington,3030,Akron R-1,80,391,Small,0.205,0.04799999999999999,7.7134986225895315
2019-2020,61,Washington,3040,Arickaree R-2,6,115,Small,0.052,-0.138,9.523809523809524
2019-2020,61,Washington,3050,Otis R-3,48,198,Small,0.242,0.067,-6.161137440758294
2019-2020,61,Washington,3060,Lone Star 101,0,133,Small,0,-0.074,9.917355371900827
2019-2020,61,Washington,3070,Woodlin R-104,22,92,Micro,0.239,0.0069999999999999785,-3.1578947368421053
2019-2020,62,Weld,3080,Weld County Re-1,491,2013,Intermediate,0.244,0.08399999999999999,10.180623973727421
2019-2020,62,Weld,3085,Eaton Re-2,321,2020,Intermediate,0.159,0.076,5.483028720626632
2019-2020,62,Weld,3090,Weld County School District Re-3j,410,2854,Intermediate,0.144,-0.019000000000000017,19.915966386554622
2019-2020,62,Weld,3100,Weld Re-4,1116,7646,Medium,0.146,0.05399999999999999,16.218270253837968
2019-2020,62,Weld,3110,Johnstown-Milliken Re-5j,766,3648,Medium,0.21,0.07699999999999999,-5.246753246753247
2019-2020,62,Weld,3120,Greeley 6,8054,23316,Large,0.345,0.15199999999999997,4.509188704616764
2019-2020,62,Weld,3130,Platte Valley Re-7,160,1124,Intermediate,0.142,0.089,2.93040293040293
2019-2020,62,Weld,3140,Weld Re-8 Schools,434,2548,Intermediate,0.17,0.0050000000000000044,10.830795998260113
2019-2020,62,Weld,3145,Ault-Highland Re-9,288,994,Intermediate,0.29,0.07199999999999998,6.310160427807487
2019-2020,62,Weld,3146,Briggsdale Re-10,13,190,Small,0.068,-0.064,13.77245508982036
2019-2020,62,Weld,3147,Prairie Re-11,3,219,Small,0.014,-0.011999999999999999,12.88659793814433
2019-2020,62,Weld,3148,Pawnee Re-12,16,82,Micro,0.195,0.126,13.88888888888889
2019-2020,63,Yuma,3200,Yuma 1,63,940,Intermediate,0.067,-0.10799999999999998,17.35330836454432
2019-2020,63,Yuma,3210,Wray Rd-2,122,776,Intermediate,0.157,-0.006000000000000005,14.117647058823529
2019-2020,63,Yuma,3220,Idalia Rj-3,79,79,Micro,1,1,-57.75401069518717
2019-2020,63,Yuma,3230,Liberty J-4,3,68,Micro,0.044,-0.09100000000000001,30.76923076923077
2020-2021,01,Adams,0010,Mapleton 1,3311,9538,Medium,0.347,0.13899999999999998,-1.5381439042015073
2020-2021,01,Adams,0020,Adams 12 Five Star Schools,10144,37875,Large,0.268,0.019000000000000017,-2.8796348530693883
2020-2021,01,Adams,0030,Adams County 14,3639,6506,Medium,0.559,0.12900000000000006,-7.598352506746201
2020-2021,01,Adams,0040,School District 27j,3577,19152,Large,0.187,-0.09499999999999997,-3.9374028188794705
2020-2021,01,Adams,0050,Bennett 29j,192,1200,Intermediate,0.16,-0.088,2.73972602739726
2020-2021,01,Adams,0060,Strasburg 31j,134,1155,Intermediate,0.116,0.017,4.147880973850316
2020-2021,01,Adams,0070,Westminster Public Schools,4886,8926,Medium,0.547,0.16400000000000003,-8.102542983630187
2020-2021,02,Alamosa,0100,Alamosa Re-11j,127,463,Small,0.274,0.195,-81.00123102174805
2020-2021,02,Alamosa,0110,Sangre De Cristo Re-22j,27,242,Small,0.112,-0.21900000000000003,-18.243243243243242
2020-2021,03,Arapahoe,0120,Englewood 1,931,2593,Intermediate,0.359,-0.020000000000000018,-6.423673763984121
2020-2021,03,Arapahoe,0123,Sheridan 2,381,1288,Intermediate,0.296,0.061,-11.961722488038278
2020-2021,03,Arapahoe,0130,Cherry Creek 5,9955,56225,Large,0.177,-0.007000000000000006,-2.887887109867523
2020-2021,03,Arapahoe,0140,Littleton 6,2188,14496,Medium,0.151,0.0010000000000000009,-5.680265469451493
2020-2021,03,Arapahoe,0170,Deer Trail 26j,56,271,Small,0.207,-0.009000000000000008,-4.240282685512367
2020-2021,03,Arapahoe,0180,Adams-Arapahoe 28j,13579,39927,Large,0.34,0.09200000000000003,-5.2425479400037975
2020-2021,03,Arapahoe,0190,Byers 32j,2115,7027,Medium,0.301,0.13399999999999998,73.50617283950618
2020-2021,04,Archuleta,0220,Archuleta County 50 Jt,554,1665,Intermediate,0.333,-0.009000000000000008,-8.866995073891626
2020-2021,05,Baca,0230,Walsh Re-1,31,160,Small,0.194,0.127,255.55555555555554
2020-2021,05,Baca,0240,Pritchett Re-3,7,65,Micro,0.108,0.092,4.838709677419355
2020-2021,05,Baca,0250,Springfield Re-4,88,315,Small,0.279,0.15600000000000003,-7.624633431085044
2020-2021,05,Baca,0260,Vilas Re-5,6,200,Small,0.03,-0.137,177.77777777777777
2020-2021,05,Baca,0270,Campo Re-6,6,57,Micro,0.105,-0.073,26.666666666666668
2020-2021,06,Bent,0290,Las Animas Re-1,1227,2547,Intermediate,0.482,-0.09099999999999997,2.3713826366559485
2020-2021,06,Bent,0310,McClave Re-2,10,219,Small,0.046,-0.006999999999999999,-3.9473684210526314
2020-2021,07,Boulder,0470,St Vrain Valley Re-1j,6549,32533,Large,0.201,0.029000000000000026,-3.9672934439295098
2020-2021,07,Boulder,0480,Boulder Valley Re 2,4505,30075,Large,0.15,0.010999999999999982,-5.186002522068096
2020-2021,08,Chaffee,0490,Buena Vista R-31,186,1043,Intermediate,0.178,0.06499999999999999,-9.225413402959095
2020-2021,08,Chaffee,0500,Salida R-32,232,1148,Intermediate,0.202,-0.028999999999999998,-16.204379562043794
2020-2021,09,Cheyenne,0510,Kit Carson R-1,18,103,Small,0.175,0.11299999999999999,-8.035714285714286
2020-2021,09,Cheyenne,0520,Cheyenne County Re-5,15,186,Small,0.081,0.029000000000000005,-11.428571428571429
2020-2021,10,Clear Creek,0540,Clear Creek Re-1,135,685,Small,0.197,-0.04999999999999999,-10.923276983094928
2020-2021,11,Conejos,0550,North Conejos Re-1j,421,1012,Intermediate,0.416,0.263,-6.122448979591836
2020-2021,11,Conejos,0560,Sanford 6j,60,290,Small,0.207,0.11299999999999999,-21.83288409703504
2020-2021,11,Conejos,0580,South Conejos Re-10,11,78,Micro,0.141,-0.165,-51.25
2020-2021,12,Costilla,0640,Centennial R-1,172,253,Small,0.68,0.6200000000000001,16.05504587155963
2020-2021,12,Costilla,0740,Sierra Grande R-30,24,136,Small,0.176,-0.14100000000000001,-2.158273381294964
2020-2021,13,Crowley,0770,Crowley County Re-1-J,80,435,Small,0.184,0.065,-3.7610619469026547
2020-2021,14,Custer,0860,Custer County School District C-1,51,367,Small,0.139,0.139,-6.852791878172589
2020-2021,15,Delta,0870,Delta County 50(J),1274,5093,Medium,0.25,0.152,-2.7125119388729706
2020-2021,16,Denver,0880,Denver County 1,27870,93385,Large,0.298,0.008000000000000007,-2.7543475997084244
2020-2021,17,Dolores,0890,Dolores County Re No.2,74,252,Small,0.294,0.119,5
2020-2021,18,Douglas,0900,Douglas County Re 1,10104,61399,Large,0.165,-0.036000000000000004,-10.73910388741895
2020-2021,19,Eagle,0910,Eagle County Re 50,1415,6926,Medium,0.204,0.10999999999999999,-2.285553047404063
2020-2021,20,Elbert,0920,Elizabeth School District,329,1990,Intermediate,0.165,0.04600000000000001,-5.6424845898530105
2020-2021,20,Elbert,0930,Kiowa C-2,67,278,Small,0.241,0.04799999999999999,1.0909090909090908
2020-2021,20,Elbert,0940,Big Sandy 100j,23,148,Small,0.155,-0.12000000000000002,-44.98141263940521
2020-2021,20,Elbert,0950,Elbert 200,53,298,Small,0.178,-0.06,9.157509157509157
2020-2021,20,Elbert,0960,Agate 300,16,73,Micro,0.219,0.101,114.70588235294117
2020-2021,21,El Paso,0970,Calhan Rj-1,110,497,Small,0.221,0.027999999999999997,-2.1653543307086616
2020-2021,21,El Paso,0980,Harrison 2,4798,12086,Medium,0.397,0.07500000000000001,-3.063843439204363
2020-2021,21,El Paso,0990,Widefield 3,2204,9226,Medium,0.239,0.026999999999999996,-10.877125193199381
2020-2021,21,El Paso,1000,Fountain 8,1934,9007,Medium,0.215,-0.0030000000000000027,-4.140059599829715
2020-2021,21,El Paso,1010,Colorado Springs 11,8948,25830,Large,0.346,0.022999999999999965,-3.1931639307398245
2020-2021,21,El Paso,1020,Cheyenne Mountain 12,432,5193,Medium,0.083,-0.018000000000000002,-5.063985374771481
2020-2021,21,El Paso,1030,Manitou Springs 14,163,1383,Intermediate,0.118,-0.11400000000000002,-9.607843137254902
2020-2021,21,El Paso,1040,Academy 20,3346,24478,Large,0.137,0.024000000000000007,-10.589180699127004
2020-2021,21,El Paso,1050,Ellicott 22,309,1073,Intermediate,0.288,-0.029000000000000026,-14.841269841269842
2020-2021,21,El Paso,1060,Peyton 23 Jt,83,570,Small,0.146,0.040999999999999995,9.195402298850574
2020-2021,21,El Paso,1070,Hanover 28,86,313,Small,0.275,0.06600000000000003,5.3872053872053876
2020-2021,21,El Paso,1080,Lewis-Palmer 38,855,6451,Medium,0.133,-0.010999999999999982,-6.439448875997099
2020-2021,21,El Paso,1110,District 49,4335,25536,Large,0.17,0.018000000000000016,3.7037037037037037
2020-2021,21,El Paso,1120,Edison 54 Jt,11,193,Small,0.057,-0.015999999999999993,-21.54471544715447
2020-2021,21,El Paso,1130,Miami/Yoder 60 Jt,86,322,Small,0.267,0.08800000000000002,2.8753993610223643
2020-2021,22,Fremont,1140,Canon City Re-1,1258,3430,Medium,0.367,0.248,-5.665566556655666
2020-2021,22,Fremont,1150,Fremont Re-2,446,1402,Intermediate,0.318,-0.669,0
2020-2021,22,Fremont,1160,Cotopaxi Re-3,51,218,Small,0.234,0.063,-11.382113821138212
2020-2021,23,Garfield,1180,Roaring Fork Re-1,1265,5547,Medium,0.228,-0.037000000000000005,-5.2280881599179905
2020-2021,23,Garfield,1195,Garfield Re-2,2225,4034,Medium,0.552,0.42500000000000004,-19.91264641651777
2020-2021,23,Garfield,1220,Garfield 16,391,1237,Intermediate,0.316,0.07400000000000001,-13.009845288326302
2020-2021,24,Gilpin,1330,Gilpin County Re-1,74,459,Small,0.161,-0.04200000000000001,-10.3515625
2020-2021,25,Grand,1340,West Grand 1-Jt,88,432,Small,0.204,-0.03900000000000001,-4.635761589403973
2020-2021,25,Grand,1350,East Grand 2,154,1345,Intermediate,0.114,0.056,-2.888086642599278
2020-2021,26,Gunnison,1360,Gunnison Watershed Re1j,432,2146,Intermediate,0.201,0.07700000000000001,-0.2788104089219331
2020-2021,27,Hinsdale,1380,Hinsdale County Re 1,13,73,Micro,0.178,0.04199999999999998,-17.045454545454547
2020-2021,28,Huerfano,1390,Huerfano Re-1,218,595,Small,0.366,0.03699999999999998,8.181818181818182
2020-2021,28,Huerfano,1400,La Veta Re-2,64,218,Small,0.294,0.02899999999999997,-2.242152466367713
2020-2021,29,Jackson,1410,North Park R-1,35,155,Small,0.226,0.101,868.75
2020-2021,30,Jefferson,1420,Jefferson County R-1,24923,82021,Large,0.304,0.063,-4.387713469720814
2020-2021,31,Kiowa,1430,Eads Re-1,24,216,Small,0.111,0.083,1.8867924528301887
2020-2021,31,Kiowa,1440,Plainview Re-2,10,50,Micro,0.2,0.07500000000000001,56.25
2020-2021,32,Kit Carson,1450,Arriba-Flagler C-20,30,160,Small,0.188,-0.013000000000000012,0.6289308176100629
2020-2021,32,Kit Carson,1460,Hi-Plains R-23,19,146,Small,0.13,0.04400000000000001,5.0359712230215825
2020-2021,32,Kit Carson,1480,Stratton R-4,15,245,Small,0.061,-0.008000000000000007,0
2020-2021,32,Kit Carson,1490,Bethune R-5,39,114,Small,0.342,0.30800000000000005,-3.389830508474576
2020-2021,32,Kit Carson,1500,Burlington Re-6j,134,779,Intermediate,0.172,0.07699999999999999,-3.469640644361834
2020-2021,33,Lake,1510,Lake County R-1,76,1045,Intermediate,0.073,-0.022000000000000006,-10.300429184549357
2020-2021,34,La Plata,1520,Durango 9-R,2939,7206,Medium,0.408,0.08599999999999997,29.070392262224612
2020-2021,34,La Plata,1530,Bayfield 10 Jt-R,320,1398,Intermediate,0.229,0.07,-0.9915014164305949
2020-2021,34,La Plata,1540,Ignacio 11 Jt,283,713,Small,0.397,0.08100000000000002,-7.642487046632124
2020-2021,35,Larimer,1550,Poudre R-1,6582,29265,Large,0.225,-0.009000000000000008,-3.214604623474551
2020-2021,35,Larimer,1560,Thompson R2-J,3245,14440,Medium,0.225,-0.049000000000000016,-12.975351051648286
2020-2021,35,Larimer,1570,Estes Park R-3,250,1091,Intermediate,0.229,-0.06299999999999997,-9.760132340777503
2020-2021,36,Las Animas,1580,Trinidad 1,154,733,Small,0.21,0.193,-15.65017261219793
2020-2021,36,Las Animas,1590,Primero Reorganized 2,29,223,Small,0.13,0.037000000000000005,106.48148148148148
2020-2021,36,Las Animas,1600,Hoehne Reorganized 3,37,339,Small,0.109,-0.071,-10.317460317460318
2020-2021,36,Las Animas,1620,Aguilar Reorganized 6,14,109,Small,0.128,-0.064,-12.8
2020-2021,36,Las Animas,1750,Branson Reorganized 82,15,622,Small,0.024,0.0010000000000000009,30.39832285115304
2020-2021,36,Las Animas,1760,Kim Reorganized 88,10,44,Micro,0.227,0.031,-13.72549019607843
2020-2021,37,Lincoln,1780,Genoa-Hugo C113,13,228,Small,0.057,0.022,0.44052863436123346
2020-2021,37,Lincoln,1790,Limon Re-4j,83,458,Small,0.181,0.022999999999999993,-4.583333333333333
2020-2021,37,Lincoln,1810,Karval Re-23,0,53,Micro,0,-0.035,-7.017543859649122
2020-2021,38,Logan,1828,Valley Re-1,454,2193,Intermediate,0.207,-0.009000000000000008,-8.050314465408805
2020-2021,38,Logan,1850,Frenchman Re-3,15,198,Small,0.076,0.056999999999999995,-7.042253521126761
2020-2021,38,Logan,1860,Buffalo Re-4j,56,316,Small,0.177,0.105,2.9315960912052117
2020-2021,38,Logan,1870,Plateau Re-5,14,162,Small,0.086,0.02099999999999999,-4.705882352941177
2020-2021,39,Mesa,1980,De Beque 49jt,56,158,Small,0.354,0.08499999999999996,-7.60233918128655
2020-2021,39,Mesa,1990,Plateau Valley 50,135,398,Small,0.339,0.15500000000000003,-18.442622950819672
2020-2021,39,Mesa,2000,Mesa County Valley 51,5591,22245,Large,0.251,0.08099999999999999,-2.2627416520210897
2020-2021,40,Mineral,2010,Creede School District,15,88,Micro,0.17,-0.373,-6.382978723404255
2020-2021,41,Moffat,2020,Moffat County Re-1,1093,2178,Intermediate,0.502,0.314,-6.120689655172414
2020-2021,42,Montezuma,2035,Montezuma-Cortez Re-1,864,2748,Intermediate,0.314,0.04099999999999998,-6.435137895812053
2020-2021,42,Montezuma,2055,Dolores Re-4a,192,657,Small,0.292,0.086,-0.6051437216338881
2020-2021,42,Montezuma,2070,Mancos Re-6,87,507,Small,0.172,0.07299999999999998,-5.41044776119403
2020-2021,43,Montrose,2180,Montrose County Re-1j,1399,5606,Medium,0.25,-0.009000000000000008,-12.59744309323355
2020-2021,43,Montrose,2190,West End Re-2,104,272,Small,0.382,0.165,-7.796610169491525
2020-2021,44,Morgan,2395,Brush Re-2(J),359,1428,Intermediate,0.251,0.04400000000000001,-2.857142857142857
2020-2021,44,Morgan,2405,Fort Morgan Re-3,928,3388,Medium,0.274,0.03500000000000003,-5.521472392638037
2020-2021,44,Morgan,2505,Weldon Valley Re-20(J),26,200,Small,0.13,-0.095,-1.9607843137254901
2020-2021,44,Morgan,2515,Wiggins Re-50(J),77,708,Small,0.109,0,3.812316715542522
2020-2021,45,Otero,2520,East Otero R-1,436,1384,Intermediate,0.315,-0.018000000000000016,20.87336244541485
2020-2021,45,Otero,2530,Rocky Ford R-2,255,768,Intermediate,0.332,0.24000000000000002,-6.569343065693431
2020-2021,45,Otero,2535,Manzanola 3j,39,173,Small,0.225,0.047000000000000014,-0.5747126436781609
2020-2021,45,Otero,2540,Fowler R-4j,48,395,Small,0.122,0.009999999999999995,5.614973262032086
2020-2021,45,Otero,2560,Cheraw 31,32,219,Small,0.146,0.095,11.16751269035533
2020-2021,45,Otero,2570,Swink 33,57,325,Small,0.175,0.102,-1.5151515151515151
2020-2021,46,Ouray,2580,Ouray R-1,92,198,Small,0.465,0.28400000000000003,32.88590604026846
2020-2021,46,Ouray,2590,Ridgway R-2,34,356,Small,0.096,0.024000000000000007,-1.9283746556473829
2020-2021,47,Park,2600,Platte Canyon 1,127,756,Intermediate,0.168,-0.065,-18.622174381054897
2020-2021,47,Park,2610,Park County Re-2,238,648,Small,0.367,0.187,-12.78600269179004
2020-2021,48,Phillips,2620,Holyoke Re-1j,151,608,Small,0.248,0.10799999999999998,-3.492063492063492
2020-2021,48,Phillips,2630,Haxtun Re-2j,15,357,Small,0.042,-9.99999999999994e-4,-3.252032520325203
2020-2021,49,Pitkin,2640,Aspen 1,333,1666,Intermediate,0.2,-0.05299999999999999,-1.6528925619834711
2020-2021,50,Prowers,2650,Granada Re-1,45,203,Small,0.222,0.10300000000000001,0.49504950495049505
2020-2021,50,Prowers,2660,Lamar Re-2,362,1620,Intermediate,0.223,0.05299999999999999,3.2504780114722753
2020-2021,50,Prowers,2670,Holly Re-3,NA,NA,Micro,NA,NA,NA
2020-2021,50,Prowers,2680,Wiley Re-13 Jt,23,275,Small,0.084,0.067,14.583333333333334
2020-2021,51,Pueblo,2690,Pueblo City 60,6124,15379,Large,0.398,0.009000000000000008,-7.372161657531771
2020-2021,51,Pueblo,2700,Pueblo County 70,2320,10880,Medium,0.213,0.09599999999999999,-0.8023340627279358
2020-2021,52,Rio Blanco,2710,Meeker Re-1,83,713,Small,0.116,0.0010000000000000009,-9.974747474747474
2020-2021,52,Rio Blanco,2720,Rangely Re-4,184,526,Small,0.35,0.12899999999999998,-2.952029520295203
2020-2021,53,Rio Grande,2730,Upper Rio Grande School District C-7,95,400,Small,0.238,0.046999999999999986,-10.112359550561798
2020-2021,53,Rio Grande,2740,Monte Vista C-8,548,1210,Intermediate,0.453,0.173,-0.32948929159802304
2020-2021,53,Rio Grande,2750,Sargent Re-33j,74,348,Small,0.213,0.07499999999999998,-5.945945945945946
2020-2021,54,Routt,2760,Hayden Re-1,26,407,Small,0.064,0.018000000000000002,25.23076923076923
2020-2021,54,Routt,2770,Steamboat Springs Re-2,206,2488,Intermediate,0.083,-0.053000000000000005,-6.36055701919458
2020-2021,54,Routt,2780,South Routt Re 3,82,327,Small,0.251,0.04400000000000001,-3.2544378698224854
2020-2021,55,Saguache,2790,Mountain Valley Re 1,10,131,Small,0.076,-0.06400000000000002,-26.40449438202247
2020-2021,55,Saguache,2800,Moffat 2,119,252,Small,0.472,0.15899999999999997,-2.7027027027027026
2020-2021,55,Saguache,2810,Center 26 Jt,185,649,Small,0.285,0.175,-1.0670731707317074
2020-2021,56,San Juan,2820,Silverton 1,7,83,Micro,0.084,0.010000000000000009,2.4691358024691357
2020-2021,57,San Miguel,2830,Telluride R-1,365,854,Intermediate,0.427,0.311,-6.870229007633588
2020-2021,57,San Miguel,2840,Norwood R-2j,28,203,Small,0.138,-0.013999999999999985,-3.3333333333333335
2020-2021,58,Sedgwick,2862,Julesburg Re-1,138,411,Small,0.336,0.12800000000000003,-48.753117206982544
2020-2021,58,Sedgwick,2865,Revere School District,22,130,Small,0.169,0.12100000000000001,-10.95890410958904
2020-2021,59,Summit,3000,Summit Re-1,1245,3606,Medium,0.345,0.08299999999999996,-2.5141930251419304
2020-2021,60,Teller,3010,Cripple Creek-Victor Re-1,101,374,Small,0.27,0.07800000000000001,-12.412177985948478
2020-2021,60,Teller,3020,Woodland Park Re-2,427,2042,Intermediate,0.209,-0.10400000000000001,-14.309693663449433
2020-2021,61,Washington,3030,Akron R-1,83,412,Small,0.201,-0.003999999999999976,5.370843989769821
2020-2021,61,Washington,3040,Arickaree R-2,13,100,Micro,0.13,0.07800000000000001,-13.043478260869565
2020-2021,61,Washington,3050,Otis R-3,44,233,Small,0.189,-0.05299999999999999,17.67676767676768
2020-2021,61,Washington,3060,Lone Star 101,4,141,Small,0.028,0.028,6.015037593984962
2020-2021,61,Washington,3070,Woodlin R-104,22,90,Micro,0.244,0.0050000000000000044,-2.1739130434782608
2020-2021,62,Weld,3080,Weld County Re-1,586,1948,Intermediate,0.301,0.056999999999999995,-3.2290114257327374
2020-2021,62,Weld,3085,Eaton Re-2,352,1993,Intermediate,0.177,0.017999999999999988,-1.3366336633663367
2020-2021,62,Weld,3090,Weld County School District Re-3j,727,2737,Intermediate,0.266,0.12200000000000003,-4.0995094604064475
2020-2021,62,Weld,3100,Weld Re-4,1207,7824,Medium,0.154,0.008000000000000007,2.328014648182056
2020-2021,62,Weld,3110,Johnstown-Milliken Re-5j,428,2129,Intermediate,0.201,-0.00899999999999998,-41.63925438596491
2020-2021,62,Weld,3120,Greeley 6,8408,21241,Large,0.396,0.051000000000000045,-8.899468176359582
2020-2021,62,Weld,3130,Platte Valley Re-7,332,1058,Intermediate,0.314,0.17200000000000001,-5.871886120996441
2020-2021,62,Weld,3140,Weld Re-8 Schools,571,2259,Intermediate,0.253,0.08299999999999999,-11.342229199372056
2020-2021,62,Weld,3145,Ault-Highland Re-9,374,942,Intermediate,0.397,0.10700000000000004,-5.231388329979879
2020-2021,62,Weld,3146,Briggsdale Re-10,26,173,Small,0.15,0.08199999999999999,-8.947368421052632
2020-2021,62,Weld,3147,Prairie Re-11,22,201,Small,0.109,0.095,-8.219178082191782
2020-2021,62,Weld,3148,Pawnee Re-12,11,56,Micro,0.196,0.0010000000000000009,-31.70731707317073
2020-2021,63,Yuma,3200,Yuma 1,138,945,Intermediate,0.146,0.07899999999999999,0.5319148936170213
2020-2021,63,Yuma,3210,Wray Rd-2,194,767,Intermediate,0.253,0.096,-1.1597938144329898
2020-2021,63,Yuma,3220,Idalia Rj-3,21,185,Small,0.114,-0.886,134.1772151898734
2020-2021,63,Yuma,3230,Liberty J-4,7,67,Micro,0.104,0.06,-1.4705882352941178
2021-2022,01,Adams,0010,Mapleton 1,3655,9341,Medium,0.391,0.04400000000000004,-2.0654225204445376
2021-2022,01,Adams,0020,Adams 12 Five Star Schools,13957,36978,Large,0.377,0.10899999999999999,-2.368316831683168
2021-2022,01,Adams,0030,Adams County 14,3423,6599,Medium,0.519,-0.040000000000000036,1.4294497387027358
2021-2022,01,Adams,0040,School District 27j,8478,21469,Large,0.395,0.20800000000000002,12.097953216374268
2021-2022,01,Adams,0050,Bennett 29j,619,1345,Intermediate,0.46,0.30000000000000004,12.083333333333334
2021-2022,01,Adams,0060,Strasburg 31j,359,1267,Intermediate,0.283,0.16699999999999998,9.696969696969697
2021-2022,01,Adams,0070,Westminster Public Schools,4250,8861,Medium,0.48,-0.06700000000000006,-0.7282097244006274
2021-2022,02,Alamosa,0100,Alamosa Re-11j,685,2294,Intermediate,0.299,0.024999999999999967,395.4643628509719
2021-2022,02,Alamosa,0110,Sangre De Cristo Re-22j,70,253,Small,0.277,0.16500000000000004,4.545454545454546
2021-2022,03,Arapahoe,0120,Englewood 1,1087,2406,Intermediate,0.452,0.09300000000000003,-7.2117238719629775
2021-2022,03,Arapahoe,0123,Sheridan 2,517,1269,Intermediate,0.407,0.11099999999999999,-1.4751552795031055
2021-2022,03,Arapahoe,0130,Cherry Creek 5,17059,55979,Large,0.305,0.128,-0.4375277901289462
2021-2022,03,Arapahoe,0140,Littleton 6,2688,14108,Medium,0.191,0.04000000000000001,-2.6766004415011038
2021-2022,03,Arapahoe,0170,Deer Trail 26j,88,317,Small,0.278,0.07100000000000004,16.974169741697416
2021-2022,03,Arapahoe,0180,Adams-Arapahoe 28j,17384,39997,Large,0.435,0.09499999999999997,0.17531995892503818
2021-2022,03,Arapahoe,0190,Byers 32j,1823,6727,Medium,0.271,-0.02999999999999997,-4.269247189412267
2021-2022,04,Archuleta,0220,Archuleta County 50 Jt,831,1785,Intermediate,0.466,0.133,7.207207207207207
2021-2022,05,Baca,0230,Walsh Re-1,27,159,Small,0.17,-0.023999999999999994,-0.625
2021-2022,05,Baca,0240,Pritchett Re-3,17,71,Micro,0.239,0.131,9.23076923076923
2021-2022,05,Baca,0250,Springfield Re-4,105,293,Small,0.358,0.07899999999999996,-6.984126984126984
2021-2022,05,Baca,0260,Vilas Re-5,5,209,Small,0.024,-0.005999999999999998,4.5
2021-2022,05,Baca,0270,Campo Re-6,5,58,Micro,0.086,-0.019000000000000003,1.7543859649122806
2021-2022,06,Bent,0290,Las Animas Re-1,350,859,Intermediate,0.407,-0.07500000000000001,-66.2740478994896
2021-2022,06,Bent,0310,McClave Re-2,13,88,Micro,0.148,0.102,-59.817351598173516
2021-2022,07,Boulder,0470,St Vrain Valley Re-1j,9254,31476,Large,0.294,0.09299999999999997,-3.2490086988596194
2021-2022,07,Boulder,0480,Boulder Valley Re 2,6875,29705,Large,0.231,0.08100000000000002,-1.230257689110557
2021-2022,08,Chaffee,0490,Buena Vista R-31,292,1095,Intermediate,0.267,0.08900000000000002,4.9856184084372
2021-2022,08,Chaffee,0500,Salida R-32,365,1295,Intermediate,0.282,0.07999999999999996,12.804878048780488
2021-2022,09,Cheyenne,0510,Kit Carson R-1,13,102,Small,0.127,-0.04799999999999999,-0.970873786407767
2021-2022,09,Cheyenne,0520,Cheyenne County Re-5,20,202,Small,0.099,0.018000000000000002,8.602150537634408
2021-2022,10,Clear Creek,0540,Clear Creek Re-1,232,733,Small,0.317,0.12,7.007299270072993
2021-2022,11,Conejos,0550,North Conejos Re-1j,440,1027,Intermediate,0.428,0.01200000000000001,1.482213438735178
2021-2022,11,Conejos,0560,Sanford 6j,106,314,Small,0.338,0.13100000000000003,8.275862068965518
2021-2022,11,Conejos,0580,South Conejos Re-10,32,155,Small,0.206,0.065,98.71794871794872
2021-2022,12,Costilla,0640,Centennial R-1,150,214,Small,0.701,0.020999999999999908,-15.41501976284585
2021-2022,12,Costilla,0740,Sierra Grande R-30,87,286,Small,0.304,0.128,110.29411764705883
