school_year,county_code,county_name,district_code,district_name,absentee_students,total_students,district_size,chronically_absent_rate,pct_diff,pct_enroll_diff
2018-2019,62,Weld,3090,Weld County School District Re-3j,388,2380,Intermediate,0.163,-0.17800000000000002,3.6134087940792337
2018-2019,62,Weld,3100,Weld Re-4,607,6579,Medium,0.092,0.018000000000000002,7.48243751021075
2018-2019,62,Weld,3110,Johnstown-Milliken Re-5j,512,3850,Medium,0.133,-0.05199999999999999,2.5026624068157615
2018-2019,62,Weld,3120,Greeley 6,4305,22310,Large,0.193,-0.14500000000000002,0.4095593861109861
2018-2019,62,Weld,3130,Platte Valley Re-7,58,1092,Intermediate,0.053,-0.153,-0.273972602739726
2018-2019,62,Weld,3140,Weld Re-8 Schools,379,2299,Intermediate,0.165,-0.07299999999999998,2.0870337477797514
2018-2019,62,Weld,3145,Ault-Highland Re-9,204,935,Intermediate,0.218,0.04500000000000001,2.5219298245614037
2018-2019,62,Weld,3146,Briggsdale Re-10,22,167,Small,0.132,-0.036000000000000004,3.7267080745341614
2018-2019,62,Weld,3147,Prairie Re-11,5,194,Small,0.026,-0.25599999999999995,-0.5128205128205128
2018-2019,62,Weld,3148,Pawnee Re-12,5,72,Micro,0.069,-0.059,-7.6923076923076925
2018-2019,63,Yuma,3200,Yuma 1,140,801,Intermediate,0.175,-0.014000000000000012,3.8910505836575875
2018-2019,63,Yuma,3210,Wray Rd-2,111,680,Small,0.163,0.02100000000000002,1.492537313432836
2018-2019,63,Yuma,3220,Idalia Rj-3,0,187,Small,0,-0.065,-6.965174129353234
2018-2019,63,Yuma,3230,Liberty J-4,7,52,Micro,0.135,0.033000000000000015,-11.864406779661017
2019-2020,01,Adams,0010,Mapleton 1,2012,9687,Medium,0.208,-0.02100000000000002,14.652621612025092
2019-2020,01,Adams,0020,Adams 12 Five Star Schools,9719,38998,Large,0.249,-0.006000000000000005,2.370389814936343
2019-2020,01,Adams,0030,Adams County 14,3029,7041,Medium,0.43,-0.027000000000000024,8.206546795758413
2019-2020,01,Adams,0040,School District 27j,5630,19937,Large,0.282,0.09099999999999997,10.601353600355043
2019-2020,01,Adams,0050,Bennett 29j,290,1168,Intermediate,0.248,0.091,13.729308666017527
2019-2020,01,Adams,0060,Strasburg 31j,110,1109,Intermediate,0.099,-0.146,12.817904374364192
2019-2020,01,Adams,0070,Westminster Public Schools,3718,9713,Medium,0.383,0.069,13.033864773652974
2019-2020,02,Alamosa,0100,Alamosa Re-11j,193,2437,Intermediate,0.079,-0.139,4.457779682811831
2019-2020,02,Alamosa,0110,Sangre De Cristo Re-22j,98,296,Small,0.331,0.07500000000000001,2.422145328719723
2019-2020,03,Arapahoe,0120,Englewood 1,1049,2771,Intermediate,0.379,0.11599999999999999,14.74120082815735
2019-2020,03,Arapahoe,0123,Sheridan 2,344,1463,Intermediate,0.235,-0.08300000000000002,17.227564102564102
2019-2020,03,Arapahoe,0130,Cherry Creek 5,10629,57897,Large,0.184,-0.069,6.767846275840449
2019-2020,03,Arapahoe,0140,Littleton 6,2312,15369,Large,0.15,0.03299999999999999,4.352254209668659
2019-2020,03,Arapahoe,0170,Deer Trail 26j,61,283,Small,0.216,-0.018000000000000016,53.80434782608695
2019-2020,03,Arapahoe,0180,Adams-Arapahoe 28j,10440,42136,Large,0.248,0.0020000000000000018,10.855038147855828
2019-2020,03,Arapahoe,0190,Byers 32j,676,4050,Medium,0.167,-0.18199999999999997,41.26264387861877
2019-2020,04,Archuleta,0220,Archuleta County 50 Jt,624,1827,Intermediate,0.342,0.07600000000000001,7.092614302461899
2019-2020,05,Baca,0230,Walsh Re-1,3,45,Micro,0.067,0.013000000000000005,-69.79865771812081
2019-2020,05,Baca,0240,Pritchett Re-3,1,62,Micro,0.016,0.016,19.23076923076923
2019-2020,05,Baca,0250,Springfield Re-4,42,341,Small,0.123,-0.172,25.830258302583026
2019-2020,05,Baca,0260,Vilas Re-5,12,72,Micro,0.167,0.02100000000000002,75.60975609756098
2019-2020,05,Baca,0270,Campo Re-6,8,45,Micro,0.178,-0.173,21.62162162162162
2019-2020,06,Bent,0290,Las Animas Re-1,1426,2488,Intermediate,0.573,0.29699999999999993,9.12280701754386
2019-2020,06,Bent,0310,McClave Re-2,12,228,Small,0.053,0.053,-6.557377049180328
2019-2020,07,Boulder,0470,St Vrain Valley Re-1j,5815,33877,Large,0.172,-0.01100000000000001,8.929260450160772
2019-2020,07,Boulder,0480,Boulder Valley Re 2,4416,31720,Large,0.139,0.020000000000000018,4.6415729225084945
2019-2020,08,Chaffee,0490,Buena Vista R-31,130,1149,Intermediate,0.113,-0.049,19.190871369294605
2019-2020,08,Chaffee,0500,Salida R-32,316,1370,Intermediate,0.231,0.10300000000000001,13.787375415282392
2019-2020,09,Cheyenne,0510,Kit Carson R-1,7,112,Small,0.062,0.0030000000000000027,9.803921568627452
2019-2020,09,Cheyenne,0520,Cheyenne County Re-5,11,210,Small,0.052,0.022,27.272727272727273
2019-2020,10,Clear Creek,0540,Clear Creek Re-1,190,769,Intermediate,0.247,0.057999999999999996,11.935953420669579
2019-2020,11,Conejos,0550,North Conejos Re-1j,165,1078,Intermediate,0.153,0.007000000000000006,5.170731707317073
2019-2020,11,Conejos,0560,Sanford 6j,35,371,Small,0.094,0,12.424242424242424
2019-2020,11,Conejos,0580,South Conejos Re-10,49,160,Small,0.306,0.203,3.225806451612903
2019-2020,12,Costilla,0640,Centennial R-1,13,218,Small,0.06,-0.22699999999999998,7.920792079207921
2019-2020,12,Costilla,0740,Sierra Grande R-30,44,139,Small,0.317,0.10200000000000001,-48.51851851851852
2019-2020,13,Crowley,0770,Crowley County Re-1-J,54,452,Small,0.119,-0.032,3.4324942791762014
2019-2020,14,Custer,0860,Custer County School District C-1,0,394,Small,0,-0.226,10.05586592178771
2019-2020,15,Delta,0870,Delta County 50(J),511,5235,Medium,0.098,-0.12,12.050513698630137
2019-2020,16,Denver,0880,Denver County 1,27873,96030,Large,0.29,-0.10800000000000004,10.52286302899168
2019-2020,17,Dolores,0890,Dolores County Re No.2,42,240,Small,0.175,-0.04400000000000001,9.58904109589041
2019-2020,18,Douglas,0900,Douglas County Re 1,13848,68786,Large,0.201,0.07600000000000001,4.743341809931325
2019-2020,19,Eagle,0910,Eagle County Re 50,665,7088,Medium,0.094,-0.138,7.312641937925814
2019-2020,20,Elbert,0920,Elizabeth School District,252,2109,Intermediate,0.119,0.0049999999999999906,-6.557377049180328
2019-2020,20,Elbert,0930,Kiowa C-2,53,275,Small,0.193,0.0030000000000000027,19.047619047619047
2019-2020,20,Elbert,0940,Big Sandy 100j,74,269,Small,0.275,0.17600000000000002,-7.876712328767123
2019-2020,20,Elbert,0950,Elbert 200,65,273,Small,0.238,0.0069999999999999785,21.333333333333332
2019-2020,20,Elbert,0960,Agate 300,4,34,Micro,0.118,0.118,-27.659574468085108
2019-2020,21,El Paso,0970,Calhan Rj-1,98,508,Small,0.193,0.038000000000000006,15.454545454545455
2019-2020,21,El Paso,0980,Harrison 2,4010,12468,Medium,0.322,-0.024999999999999967,6.491288008199522
2019-2020,21,El Paso,0990,Widefield 3,2190,10352,Medium,0.212,0.033,13.136612021857923
2019-2020,21,El Paso,1000,Fountain 8,2047,9396,Medium,0.218,0.04000000000000001,19.526777763643302
2019-2020,21,El Paso,1010,Colorado Springs 11,8606,26682,Large,0.323,0.202,4.128941617233843
2019-2020,21,El Paso,1020,Cheyenne Mountain 12,555,5470,Medium,0.101,0.043000000000000003,6.627680311890838
2019-2020,21,El Paso,1030,Manitou Springs 14,355,1530,Intermediate,0.232,0.025000000000000022,5.444521019986216
2019-2020,21,El Paso,1040,Academy 20,3105,27377,Large,0.113,-0.012999999999999998,6.083620723059635
2019-2020,21,El Paso,1050,Ellicott 22,400,1260,Intermediate,0.317,0.121,24.50592885375494
2019-2020,21,El Paso,1060,Peyton 23 Jt,55,522,Small,0.105,-0.01100000000000001,-8.421052631578947
2019-2020,21,El Paso,1070,Hanover 28,62,297,Small,0.209,-0.17200000000000001,31.41592920353982
2019-2020,21,El Paso,1080,Lewis-Palmer 38,991,6895,Medium,0.144,0.05199999999999999,3.637456786412145
2019-2020,21,El Paso,1110,District 49,3733,24624,Large,0.152,-0.010000000000000009,11.526790162597944
2019-2020,21,El Paso,1120,Edison 54 Jt,18,246,Small,0.073,0.023999999999999994,10.31390134529148
2019-2020,21,El Paso,1130,Miami/Yoder 60 Jt,56,313,Small,0.179,0.179,10.60070671378092
2019-2020,22,Fremont,1140,Canon City Re-1,431,3636,Medium,0.119,0.021999999999999992,3.7967456465886382
2019-2020,22,Fremont,1150,Fremont Re-2,1384,1402,Intermediate,0.987,0.764,4.7050037341299475
2019-2020,22,Fremont,1160,Cotopaxi Re-3,42,246,Small,0.171,-0.10500000000000001,21.182266009852217
2019-2020,23,Garfield,1180,Roaring Fork Re-1,1549,5853,Medium,0.265,0.097,7.2960586617781855
2019-2020,23,Garfield,1195,Garfield Re-2,641,5037,Medium,0.127,-0.136,9.049577830699285
2019-2020,23,Garfield,1220,Garfield 16,344,1422,Intermediate,0.242,-0.045999999999999985,23.86759581881533
2019-2020,24,Gilpin,1330,Gilpin County Re-1,104,512,Small,0.203,-0.0069999999999999785,13.274336283185841
2019-2020,25,Grand,1340,West Grand 1-Jt,110,453,Small,0.243,0.07100000000000001,11.029411764705882
2019-2020,25,Grand,1350,East Grand 2,80,1385,Intermediate,0.058,-0.149,6.374807987711214
2019-2020,26,Gunnison,1360,Gunnison Watershed Re1j,266,2152,Intermediate,0.124,-0.061,7.278165503489531
2019-2020,27,Hinsdale,1380,Hinsdale County Re 1,12,88,Micro,0.136,-0.089,23.943661971830984
2019-2020,28,Huerfano,1390,Huerfano Re-1,181,550,Small,0.329,-0.15799999999999997,12.474437627811861
2019-2020,28,Huerfano,1400,La Veta Re-2,59,223,Small,0.265,-0.05499999999999999,8.25242718446602
2019-2020,29,Jackson,1410,North Park R-1,2,16,Micro,0.125,-0.10999999999999999,-90.36144578313252
2019-2020,30,Jefferson,1420,Jefferson County R-1,20700,85785,Large,0.241,-0.010000000000000009,5.011567981785019
2019-2020,31,Kiowa,1430,Eads Re-1,6,212,Small,0.028,-0.0010000000000000009,23.25581395348837
2019-2020,31,Kiowa,1440,Plainview Re-2,4,32,Micro,0.125,0.061,-31.914893617021278
2019-2020,32,Kit Carson,1450,Arriba-Flagler C-20,32,159,Small,0.201,-0.026999999999999996,6.7114093959731544
2019-2020,32,Kit Carson,1460,Hi-Plains R-23,12,139,Small,0.086,0.086,23.008849557522122
2019-2020,32,Kit Carson,1480,Stratton R-4,17,245,Small,0.069,-0.023999999999999994,14.485981308411215
2019-2020,32,Kit Carson,1490,Bethune R-5,4,118,Small,0.034,-0.10300000000000001,24.210526315789473
2019-2020,32,Kit Carson,1500,Burlington Re-6j,77,807,Intermediate,0.095,-0.03900000000000001,12.395543175487465
2019-2020,33,Lake,1510,Lake County R-1,111,1165,Intermediate,0.095,-0.020000000000000004,18.514750762970497
2019-2020,34,La Plata,1520,Durango 9-R,1796,5583,Medium,0.322,0.10900000000000001,6.790359602142311
2019-2020,34,La Plata,1530,Bayfield 10 Jt-R,224,1412,Intermediate,0.159,0.032,2.9905178701677606
2019-2020,34,La Plata,1540,Ignacio 11 Jt,244,772,Intermediate,0.316,0.020000000000000018,5.7534246575342465
2019-2020,35,Larimer,1550,Poudre R-1,7065,30237,Large,0.234,0.007000000000000006,1.856093781580543
2019-2020,35,Larimer,1560,Thompson R2-J,4546,16593,Large,0.274,-0.0020000000000000018,6.310866222450025
2019-2020,35,Larimer,1570,Estes Park R-3,353,1209,Intermediate,0.292,0.05399999999999999,10.209662716499544
2019-2020,36,Las Animas,1580,Trinidad 1,15,869,Intermediate,0.017,-0.14300000000000002,-7.257203842049093
2019-2020,36,Las Animas,1590,Primero Reorganized 2,10,108,Small,0.093,-0.10500000000000001,-38.983050847457626
2019-2020,36,Las Animas,1600,Hoehne Reorganized 3,68,378,Small,0.18,0.02099999999999999,1.8867924528301887
2019-2020,36,Las Animas,1620,Aguilar Reorganized 6,24,125,Small,0.192,0.10500000000000001,20.192307692307693
2019-2020,36,Las Animas,1750,Branson Reorganized 82,11,477,Small,0.023,0.0019999999999999983,1.9230769230769231
2019-2020,36,Las Animas,1760,Kim Reorganized 88,10,51,Micro,0.196,0.033,18.6046511627907
2019-2020,37,Lincoln,1780,Genoa-Hugo C113,8,227,Small,0.035,-0.11399999999999999,20.74468085106383
2019-2020,37,Lincoln,1790,Limon Re-4j,76,480,Small,0.158,0.025999999999999995,2.345415778251599
2019-2020,37,Lincoln,1810,Karval Re-23,2,57,Micro,0.035,-0.132,35.714285714285715
2019-2020,38,Logan,1828,Valley Re-1,516,2385,Intermediate,0.216,0.02099999999999999,12.129760225669958
2019-2020,38,Logan,1850,Frenchman Re-3,4,213,Small,0.019,0.002999999999999999,17.032967032967033
2019-2020,38,Logan,1860,Buffalo Re-4j,22,307,Small,0.072,-0.09999999999999999,1.3201320132013201
2019-2020,38,Logan,1870,Plateau Re-5,11,170,Small,0.065,-0.026999999999999996,11.11111111111111
2019-2020,39,Mesa,1980,De Beque 49jt,46,171,Small,0.269,-0.23399999999999999,4.9079754601226995
2019-2020,39,Mesa,1990,Plateau Valley 50,90,488,Small,0.184,0.077,14.018691588785046
2019-2020,39,Mesa,2000,Mesa County Valley 51,3864,22760,Large,0.17,-0.056999999999999995,7.131089668157213
2019-2020,40,Mineral,2010,Creede School District,51,94,Micro,0.543,0.10100000000000003,-1.0526315789473684
2019-2020,41,Moffat,2020,Moffat County Re-1,437,2320,Intermediate,0.188,-0.024999999999999994,9.485606418121755
2019-2020,42,Montezuma,2035,Montezuma-Cortez Re-1,801,2937,Intermediate,0.273,-0.14699999999999996,9.344750558451228
2019-2020,42,Montezuma,2055,Dolores Re-4a,136,661,Small,0.206,0.07599999999999998,0.916030534351145
2019-2020,42,Montezuma,2070,Mancos Re-6,53,536,Small,0.099,-0.163,18.8470066518847
2019-2020,43,Montrose,2180,Montrose County Re-1j,1659,6414,Medium,0.259,0.069,9.603554340396446
2019-2020,43,Montrose,2190,West End Re-2,64,295,Small,0.217,-0.016000000000000014,18.473895582329316
2019-2020,44,Morgan,2395,Brush Re-2(J),304,1470,Intermediate,0.207,0.03699999999999998,5.0750536097212295
2019-2020,44,Morgan,2405,Fort Morgan Re-3,856,3586,Medium,0.239,0.08399999999999999,12.94488188976378
2019-2020,44,Morgan,2505,Weldon Valley Re-20(J),46,204,Small,0.225,0.109,7.368421052631579
2019-2020,44,Morgan,2515,Wiggins Re-50(J),74,682,Small,0.109,-0.021000000000000005,11.80327868852459
2019-2020,45,Otero,2520,East Otero R-1,381,1145,Intermediate,0.333,0.07200000000000001,-18.214285714285715
2019-2020,45,Otero,2530,Rocky Ford R-2,76,822,Intermediate,0.092,-0.121,7.591623036649215
2019-2020,45,Otero,2535,Manzanola 3j,31,174,Small,0.178,-0.16000000000000003,25.179856115107913
