school_year,county_code,county_name,district_code,district_name,absentee_students,total_students,chronically_absent_rate
2022-2023,01,ADAMS,0010,Mapleton 1,2967,6946,0.427
2022-2023,01,ADAMS,0020,Adams 12 Five Star Schools,12145,36138,0.336
2022-2023,01,ADAMS,0030,Adams County 14,2726,5828,0.468
2022-2023,01,ADAMS,0040,School District 27J,7017,22869,0.307
2022-2023,01,ADAMS,0050,Bennett 29J,479,1302,0.368
2022-2023,01,ADAMS,0060,Strasburg 31J,416,1193,0.349
2022-2023,01,ADAMS,0070,Westminster Public Schools,3008,7946,0.379
2022-2023,02,ALAMOSA,0100,Alamosa RE-11J,682,2235,0.305
2022-2023,02,ALAMOSA,0110,Sangre De Cristo Re-22J,63,261,0.241
2022-2023,03,ARAPAHOE,0120,Englewood 1,1004,2351,0.427
2022-2023,03,ARAPAHOE,0123,Sheridan 2,361,1100,0.328
2022-2023,03,ARAPAHOE,0130,Cherry Creek 5,15329,53370,0.287
2022-2023,03,ARAPAHOE,0140,Littleton 6,2569,13299,0.193
2022-2023,03,ARAPAHOE,0170,Deer Trail 26J,91,318,0.286
2022-2023,03,ARAPAHOE,0180,Adams-Arapahoe 28J,17299,39954,0.433
2022-2023,03,ARAPAHOE,0190,Byers 32J,764,7566,0.101
2022-2023,04,ARCHULETA,0220,Archuleta County 50 Jt,714,1796,0.398
2022-2023,05,BACA,0230,Walsh RE-1,36,168,0.214
2022-2023,05,BACA,0240,Pritchett RE-3,12,49,0.245
2022-2023,05,BACA,0250,Springfield RE-4,81,276,0.293
2022-2023,05,BACA,0260,Vilas RE-5,17,196,0.087
2022-2023,05,BACA,0270,Campo RE-6,5,31,0.161
2022-2023,06,BENT,0290,Las Animas RE-1,392,928,0.422
2022-2023,06,BENT,0310,McClave Re-2,42,236,0.178
2022-2023,07,BOULDER,0470,St Vrain Valley RE1J,8382,32114,0.261
2022-2023,07,BOULDER,0480,Boulder Valley Re 2,6136,28281,0.217
2022-2023,08,CHAFFEE,0490,Buena Vista R-31,198,994,0.199
