school_year,county_code,county_name,district_code,district_name,absentee_students,total_students,chronically_absent_rate
2020-2021,01,ADAMS,0010,Mapleton 1,3311,9538,0.347
2020-2021,01,ADAMS,0020,Adams 12 Five Star Schools,10144,37875,0.268
2020-2021,01,ADAMS,0030,Adams County 14,3639,6506,0.559
2020-2021,01,ADAMS,0040,School District 27J,3577,19152,0.187
2020-2021,01,ADAMS,0050,Bennett 29J,192,1200,0.16
2020-2021,01,ADAMS,0060,Strasburg 31J,134,1155,0.116
2020-2021,01,ADAMS,0070,Westminster Public Schools,4886,8926,0.547
2020-2021,02,ALAMOSA,0100,Alamosa RE-11J,127,463,0.274
2020-2021,02,ALAMOSA,0110,Sangre De Cristo Re-22J,27,242,0.112
2020-2021,03,ARAPAHOE,0120,Englewood 1,931,2593,0.359
2020-2021,03,ARAPAHOE,0123,Sheridan 2,381,1288,0.296
2020-2021,03,ARAPAHOE,0130,Cherry Creek 5,9955,56225,0.177
2020-2021,03,ARAPAHOE,0140,Littleton 6,2188,14496,0.151
2020-2021,03,ARAPAHOE,0170,Deer Trail 26J,56,271,0.207
2020-2021,03,ARAPAHOE,0180,Adams-Arapahoe 28J,13579,39927,0.34
2020-2021,03,ARAPAHOE,0190,Byers 32J,2115,7027,0.301
2020-2021,04,ARCHULETA,0220,Archuleta County 50 Jt,554,1665,0.333
2020-2021,05,BACA,0230,Walsh RE-1,31,160,0.194
2020-2021,05,BACA,0240,Pritchett RE-3,7,65,0.108
2020-2021,05,BACA,0250,Springfield RE-4,88,315,0.279
2020-2021,05,BACA,0260,Vilas RE-5,6,200,0.03
2020-2021,05,BACA,0270,Campo RE-6,6,57,0.105
2020-2021,06,BENT,0290,Las Animas RE-1,1227,2547,0.482
2020-2021,06,BENT,0310,McClave Re-2,10,219,0.046
2020-2021,07,BOULDER,0470,St Vrain Valley RE1J,6549,32533,0.201
2020-2021,07,BOULDER,0480,Boulder Valley Re 2,4505,30075,0.15
2020-2021,08,CHAFFEE,0490,Buena Vista R-31,186,1043,0.178
2020-2021,08,CHAFFEE,0500,Salida R-32,232,1148,0.202
2020-2021,09,CHEYENNE,0510,Kit Carson R-1,18,103,0.175
2020-2021,09,CHEYENNE,0520,Cheyenne County Re-5,15,186,0.081
2020-2021,10,CLEAR CREEK,0540,Clear Creek RE-1,135,685,0.197
2020-2021,11,CONEJOS,0550,North Conejos RE-1J,421,1012,0.416
2020-2021,11,CONEJOS,0560,Sanford 6J,60,290,0.207
2020-2021,11,CONEJOS,0580,South Conejos RE-10,11,78,0.141
2020-2021,12,COSTILLA,0640,Centennial R-1,172,253,0.68
2020-2021,12,COSTILLA,0740,Sierra Grande R-30,24,136,0.176
2020-2021,13,CROWLEY,0770,Crowley County RE-1-J,80,435,0.184
2020-2021,14,CUSTER,0860,Custer County School District C-1,51,367,0.139
2020-2021,15,DELTA,0870,Delta County 50(J),1274,5093,0.25
2020-2021,16,DENVER,0880,Denver County 1,27870,93385,0.298
2020-2021,17,DOLORES,0890,Dolores County RE No.2,74,252,0.294
2020-2021,18,DOUGLAS,0900,Douglas County Re 1,10104,61399,0.165
2020-2021,19,EAGLE,0910,Eagle County RE 50,1415,6926,0.204
2020-2021,20,ELBERT,0920,Elizabeth School District,329,1990,0.165
2020-2021,20,ELBERT,0930,Kiowa C-2,67,278,0.241
2020-2021,20,ELBERT,0940,Big Sandy 100J,23,148,0.155
2020-2021,20,ELBERT,0950,Elbert 200,53,298,0.178
2020-2021,20,ELBERT,0960,Agate 300,16,73,0.219
2020-2021,21,EL PASO,0970,Calhan RJ-1,110,497,0.221
2020-2021,21,EL PASO,0980,Harrison 2,4798,12086,0.397
2020-2021,21,EL PASO,0990,Widefield 3,2204,9226,0.239
2020-2021,21,EL PASO,1000,Fountain 8,1934,9007,0.215
2020-2021,21,EL PASO,1010,Colorado Springs 11,8948,25830,0.346
2020-2021,21,EL PASO,1020,Cheyenne Mountain 12,432,5193,0.083
2020-2021,21,EL PASO,1030,Manitou Springs 14,163,1383,0.118
2020-2021,21,EL PASO,1040,Academy 20,3346,24478,0.137
2020-2021,21,EL PASO,1050,Ellicott 22,309,1073,0.288
2020-2021,21,EL PASO,1060,Peyton 23 Jt,83,570,0.146
2020-2021,21,EL PASO,1070,Hanover 28,86,313,0.275
2020-2021,21,EL PASO,1080,Lewis-Palmer 38,855,6451,0.133
2020-2021,21,EL PASO,1110,District 49,4335,25536,0.17
2020-2021,21,EL PASO,1120,Edison 54 JT,11,193,0.057
2020-2021,21,EL PASO,1130,Miami/Yoder 60 JT,86,322,0.267
2020-2021,22,FREMONT,1140,Canon City RE-1,1258,3430,0.367
2020-2021,22,FREMONT,1150,Fremont RE-2,446,1402,0.318
2020-2021,22,FREMONT,1160,Cotopaxi RE-3,51,218,0.234
2020-2021,23,GARFIELD,1180,Roaring Fork RE-1,1265,5547,0.228
