school_year,county_code,county_name,district_code,district_name,absentee_students,total_students,chronically_absent_rate
2020-2021,23,GARFIELD,1195,Garfield Re-2,2225,4034,0.552
2020-2021,23,GARFIELD,1220,Garfield 16,391,1237,0.316
2020-2021,24,GILPIN,1330,Gilpin County RE-1,74,459,0.161
2020-2021,25,GRAND,1340,West Grand 1-JT,88,432,0.204
2020-2021,25,GRAND,1350,East Grand 2,154,1345,0.114
2020-2021,26,GUNNISON,1360,Gunnison Watershed RE1J,432,2146,0.201
2020-2021,27,HINSDALE,1380,Hinsdale County RE 1,13,73,0.178
2020-2021,28,HUERFANO,1390,Huerfano Re-1,218,595,0.366
2020-2021,28,HUERFANO,1400,La Veta Re-2,64,218,0.294
2020-2021,29,JACKSON,1410,North Park R-1,35,155,0.226
2020-2021,30,JEFFERSON,1420,Jefferson County R-1,24923,82021,0.304
2020-2021,31,KIOWA,1430,Eads RE-1,24,216,0.111
2020-2021,31,KIOWA,1440,Plainview RE-2,10,50,0.2
2020-2021,32,KIT CARSON,1450,Arriba-Flagler C-20,30,160,0.188
2020-2021,32,KIT CARSON,1460,Hi-Plains R-23,19,146,0.13
2020-2021,32,KIT CARSON,1480,Stratton R-4,15,245,0.061
2020-2021,32,KIT CARSON,1490,Bethune R-5,39,114,0.342
2020-2021,32,KIT CARSON,1500,Burlington RE-6J,134,779,0.172
2020-2021,33,LAKE,1510,Lake County R-1,76,1045,0.073
2020-2021,34,LA PLATA,1520,Durango 9-R,2939,7206,0.408
2020-2021,34,LA PLATA,1530,Bayfield 10 Jt-R,320,1398,0.229
2020-2021,34,LA PLATA,1540,Ignacio 11 JT,283,713,0.397
2020-2021,35,LARIMER,1550,Poudre R-1,6582,29265,0.225
2020-2021,35,LARIMER,1560,Thompson R2-J,3245,14440,0.225
2020-2021,35,LARIMER,1570,Estes Park R-3,250,1091,0.229
2020-2021,36,LAS ANIMAS,1580,Trinidad 1,154,733,0.21
2020-2021,36,LAS ANIMAS,1590,Primero Reorganized 2,29,223,0.13
2020-2021,36,LAS ANIMAS,1600,Hoehne Reorganized 3,37,339,0.109
2020-2021,36,LAS ANIMAS,1620,Aguilar Reorganized 6,14,109,0.128
2020-2021,36,LAS ANIMAS,1750,Branson Reorganized 82,15,622,0.024
2020-2021,36,LAS ANIMAS,1760,Kim Reorganized 88,10,44,0.227
2020-2021,37,LINCOLN,1780,Genoa-Hugo C113,13,228,0.057
2020-2021,37,LINCOLN,1790,Limon RE-4J,83,458,0.181
2020-2021,37,LINCOLN,1810,Karval RE-23,0,53,0
2020-2021,38,LOGAN,1828,Valley RE-1,454,2193,0.207
2020-2021,38,LOGAN,1850,Frenchman RE-3,15,198,0.076
2020-2021,38,LOGAN,1860,Buffalo RE-4J,56,316,0.177
2020-2021,38,LOGAN,1870,Plateau RE-5,14,162,0.086
2020-2021,39,MESA,1980,De Beque 49JT,56,158,0.354
2020-2021,39,MESA,1990,Plateau Valley 50,135,398,0.339
2020-2021,39,MESA,2000,Mesa County Valley 51,5591,22245,0.251
2020-2021,40,MINERAL,2010,Creede School District,15,88,0.17
2020-2021,41,MOFFAT,2020,Moffat County RE: No 1,1093,2178,0.502
2020-2021,42,MONTEZUMA,2035,Montezuma-Cortez RE-1,864,2748,0.314
2020-2021,42,MONTEZUMA,2055,Dolores RE-4A,192,657,0.292
2020-2021,42,MONTEZUMA,2070,Mancos Re-6,87,507,0.172
2020-2021,43,MONTROSE,2180,Montrose County RE-1J,1399,5606,0.25
2020-2021,43,MONTROSE,2190,West End RE-2,104,272,0.382
2020-2021,44,MORGAN,2395,Brush RE-2(J),359,1428,0.251
2020-2021,44,MORGAN,2405,Fort Morgan Re-3,928,3388,0.274
2020-2021,44,MORGAN,2505,Weldon Valley RE-20(J),26,200,0.13
2020-2021,44,MORGAN,2515,Wiggins RE-50(J),77,708,0.109
2020-2021,45,OTERO,2520,East Otero R-1,436,1384,0.315
2020-2021,45,OTERO,2530,Rocky Ford R-2,255,768,0.332
2020-2021,45,OTERO,2535,Manzanola 3J,39,173,0.225
2020-2021,45,OTERO,2540,Fowler R-4J,48,395,0.122
2020-2021,45,OTERO,2560,Cheraw 31,32,219,0.146
2020-2021,45,OTERO,2570,Swink 33,57,325,0.175
2020-2021,46,OURAY,2580,Ouray R-1,92,198,0.465
2020-2021,46,OURAY,2590,Ridgway R-2,34,356,0.096
2020-2021,47,PARK,2600,Platte Canyon 1,127,756,0.168
2020-2021,47,PARK,2610,Park County RE-2,238,648,0.367
2020-2021,48,PHILLIPS,2620,Holyoke Re-1J,151,608,0.248
2020-2021,48,PHILLIPS,2630,Haxtun RE-2J,15,357,0.042
2020-2021,49,PITKIN,2640,Aspen 1,333,1666,0.2
2020-2021,50,PROWERS,2650,Granada RE-1,45,203,0.222
2020-2021,50,PROWERS,2660,Lamar Re-2,362,1620,0.223
2020-2021,50,PROWERS,2670,HOLLY RE-3,NA,NA,NA
2020-2021,50,PROWERS,2680,Wiley RE-13 Jt,23,275,0.084
2020-2021,51,PUEBLO,2690,Pueblo City 60,6124,15379,0.398
2020-2021,51,PUEBLO,2700,Pueblo County 70,2320,10880,0.213
2020-2021,52,RIO BLANCO,2710,Meeker RE-1,83,713,0.116
2020-2021,52,RIO BLANCO,2720,Rangely RE-4,184,526,0.35
2020-2021,53,RIO GRANDE,2730,Upper Rio Grande School District C-7,95,400,0.238
2020-2021,53,RIO GRANDE,2740,Monte Vista C-8,548,1210,0.453
2020-2021,53,RIO GRANDE,2750,Sargent RE-33J,74,348,0.213
2020-2021,54,ROUTT,2760,Hayden RE-1,26,407,0.064
2020-2021,54,ROUTT,2770,Steamboat Springs RE-2,206,2488,0.083
2020-2021,54,ROUTT,2780,South Routt RE 3,82,327,0.251
2020-2021,55,SAGUACHE,2790,Mountain Valley RE 1,10,131,0.076
2020-2021,55,SAGUACHE,2800,Moffat 2,119,252,0.472
2020-2021,55,SAGUACHE,2810,Center 26 JT,185,649,0.285
2020-2021,56,SAN JUAN,2820,Silverton 1,7,83,0.084
2020-2021,57,SAN MIGUEL,2830,Telluride R-1,365,854,0.427
2020-2021,57,SAN MIGUEL,2840,Norwood R-2J,28,203,0.138
2020-2021,58,SEDGWICK,2862,Julesburg Re-1,138,411,0.336
2020-2021,58,SEDGWICK,2865,Revere School District,22,130,0.169
2020-2021,59,SUMMIT,3000,Summit RE-1,1245,3606,0.345
2020-2021,60,TELLER,3010,Cripple Creek-Victor RE-1,101,374,0.27
2020-2021,60,TELLER,3020,Woodland Park Re-2,427,2042,0.209
2020-2021,61,WASHINGTON,3030,Akron R-1,83,412,0.201
2020-2021,61,WASHINGTON,3040,Arickaree R-2,13,100,0.13
2020-2021,61,WASHINGTON,3050,Otis R-3,44,233,0.189
2020-2021,61,WASHINGTON,3060,Lone Star 101,4,141,0.028
2020-2021,61,WASHINGTON,3070,Woodlin R-104,22,90,0.244
2020-2021,62,WELD,3080,Weld County RE-1,586,1948,0.301
2020-2021,62,WELD,3085,Eaton RE-2,352,1993,0.177
2020-2021,62,WELD,3090,Weld County School District RE-3J,727,2737,0.266
2020-2021,62,WELD,3100,Windsor RE-4,1207,7824,0.154
2020-2021,62,WELD,3110,Johnstown-Milliken RE-5J,428,2129,0.201
2020-2021,62,WELD,3120,Greeley 6,8408,21241,0.396
2020-2021,62,WELD,3130,Platte Valley RE-7,332,1058,0.314
2020-2021,62,WELD,3140,Weld Re-8 Schools,571,2259,0.253
2020-2021,62,WELD,3145,Ault-Highland RE-9,374,942,0.397
2020-2021,62,WELD,3146,Briggsdale RE-10,26,173,0.15
2020-2021,62,WELD,3147,Prairie RE-11,22,201,0.109
2020-2021,62,WELD,3148,Pawnee RE-12,11,56,0.196
2020-2021,63,YUMA,3200,Yuma 1,138,945,0.146
2020-2021,63,YUMA,3210,Wray RD-2,194,767,0.253
2020-2021,63,YUMA,3220,Idalia RJ-3,21,185,0.114
2020-2021,63,YUMA,3230,Liberty J-4,7,67,0.104
