school_year,county_code,county_name,district_code,district_name,absentee_students,total_students,chronically_absent_rate
2019-2020,01,ADAMS,0010,Mapleton 1,2012,9687,0.20770104263445854
2019-2020,01,ADAMS,0020,Adams 12 Five Star Schools,9719,38998,0.24921790861069798
2019-2020,01,ADAMS,0030,Adams County 14,3029,7041,0.4301945746342849
2019-2020,01,ADAMS,0040,School District 27J,5630,19937,0.28238952701008174
2019-2020,01,ADAMS,0050,Bennett 29J,290,1168,0.2482876712328767
2019-2020,01,ADAMS,0060,Strasburg 31J,110,1109,0.09918845807033363
2019-2020,01,ADAMS,0070,Westminster Public Schools,3718,9713,0.3827859569648924
2019-2020,02,ALAMOSA,0100,Alamosa RE-11J,193,2437,0.0791957324579401
2019-2020,02,ALAMOSA,0110,Sangre De Cristo Re-22J,98,296,0.3310810810810811
2019-2020,03,ARAPAHOE,0120,Englewood 1,1049,2771,0.37856369541681706
2019-2020,03,ARAPAHOE,0123,Sheridan 2,344,1463,0.23513328776486672
2019-2020,03,ARAPAHOE,0130,Cherry Creek 5,10629,57897,0.18358464169127933
2019-2020,03,ARAPAHOE,0140,Littleton 6,2312,15369,0.15043268917951721
2019-2020,03,ARAPAHOE,0170,Deer Trail 26J,61,283,0.21554770318021202
2019-2020,03,ARAPAHOE,0180,Adams-Arapahoe 28J,10440,42136,0.2477691285361686
2019-2020,03,ARAPAHOE,0190,Byers 32J,676,4050,0.16691358024691358
2019-2020,04,ARCHULETA,0220,Archuleta County 50 Jt,624,1827,0.3415435139573071
2019-2020,05,BACA,0230,Walsh RE-1,3,45,0.06666666666666667
2019-2020,05,BACA,0240,Pritchett RE-3,1,62,0.016129032258064516
2019-2020,05,BACA,0250,Springfield RE-4,42,341,0.12316715542521994
2019-2020,05,BACA,0260,Vilas RE-5,12,72,0.16666666666666666
2019-2020,05,BACA,0270,Campo RE-6,8,45,0.17777777777777778
2019-2020,06,BENT,0290,Las Animas RE-1,1426,2488,0.5731511254019293
2019-2020,06,BENT,0310,McClave Re-2,12,228,0.05263157894736842
2019-2020,07,BOULDER,0470,St Vrain Valley RE1J,5815,33877,0.1716503822652537
2019-2020,07,BOULDER,0480,Boulder Valley Re 2,4416,31720,0.13921815889029004
2019-2020,08,CHAFFEE,0490,Buena Vista R-31,130,1149,0.11314186248912098
2019-2020,08,CHAFFEE,0500,Salida R-32,316,1370,0.23065693430656933
2019-2020,09,CHEYENNE,0510,Kit Carson R-1,7,112,0.0625
2019-2020,09,CHEYENNE,0520,Cheyenne County Re-5,11,210,0.05238095238095238
2019-2020,10,CLEAR CREEK,0540,Clear Creek RE-1,190,769,0.247074122236671
2019-2020,11,CONEJOS,0550,North Conejos RE-1J,165,1078,0.15306122448979592
2019-2020,11,CONEJOS,0560,Sanford 6J,35,371,0.09433962264150944
2019-2020,11,CONEJOS,0580,South Conejos RE-10,49,160,0.30625
2019-2020,12,COSTILLA,0640,Centennial R-1,13,218,0.05963302752293578
2019-2020,12,COSTILLA,0740,Sierra Grande R-30,44,139,0.31654676258992803
2019-2020,13,CROWLEY,0770,Crowley County RE-1-J,54,452,0.11946902654867257
2019-2020,14,CUSTER,0860,Custer County School District C-1,0,394,0
2019-2020,15,DELTA,0870,Delta County 50(J),511,5235,0.09761222540592168
2019-2020,16,DENVER,0880,Denver County 1,27873,96030,0.290253045923149
2019-2020,17,DOLORES,0890,Dolores County RE No.2,42,240,0.175
