school_year,county_code,county_name,district_code,district_name,absentee_students,total_students,chronically_absent_rate
2017-2018,01,ADAMS,0010,MAPLETON 1,2486,8494,0.29267718389451375
2017-2018,01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9238,37752,0.24470226742954015
2017-2018,01,ADAMS,0030,ADAMS COUNTY 14,2603,6817,0.381839518849934
2017-2018,01,ADAMS,0040,SCHOOL DISTRICT 27J,3189,17210,0.1852992446252179
2017-2018,01,ADAMS,0050,BENNETT 29J,325,1061,0.3063147973609802
2017-2018,01,ADAMS,0060,STRASBURG 31J,177,941,0.18809776833156217
2017-2018,01,ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,2545,8770,0.290193842645382
2017-2018,02,ALAMOSA,0100,ALAMOSA RE-11J,528,2336,0.22602739726027396
2017-2018,02,ALAMOSA,0110,SANGRE DE CRISTO RE-22J,59,296,0.19932432432432431
2017-2018,03,ARAPAHOE,0120,ENGLEWOOD 1,690,2529,0.27283511269276395
2017-2018,03,ARAPAHOE,0123,SHERIDAN 2,335,1258,0.26629570747217807
2017-2018,03,ARAPAHOE,0130,CHERRY CREEK 5,10877,53956,0.20159018459485506
2017-2018,03,ARAPAHOE,0140,LITTLETON 6,2521,14966,0.1684484832286516
2017-2018,03,ARAPAHOE,0170,DEER TRAIL 26J,0,181,0
2017-2018,03,ARAPAHOE,0180,ADAMS-ARAPAHOE 28J,14456,39060,0.3700972862263185
2017-2018,03,ARAPAHOE,0190,BYERS 32J,1805,2829,0.6380346412159774
2017-2018,04,ARCHULETA,0220,ARCHULETA COUNTY 50 JT,356,1660,0.21445783132530122
2017-2018,05,BACA,0230,WALSH RE-1,18,141,0.1276595744680851
2017-2018,05,BACA,0240,PRITCHETT RE-3,2,37,0.05405405405405406
2017-2018,05,BACA,0250,SPRINGFIELD RE-4,93,295,0.3152542372881356
2017-2018,05,BACA,0260,VILAS RE-5,20,45,0.4444444444444444
2017-2018,05,BACA,0270,CAMPO RE-6,8,31,0.25806451612903225
2017-2018,06,BENT,0290,LAS ANIMAS RE-1,999,1687,0.5921754593953764
2017-2018,06,BENT,0310,MC CLAVE RE-2,0,239,0
2017-2018,07,BOULDER,0470,ST VRAIN VALLEY RE 1J,5610,30970,0.1811430416532128
2017-2018,07,BOULDER,0480,BOULDER VALLEY RE 2,3188,30391,0.10489947681879504
2017-2018,08,CHAFFEE,0490,BUENA VISTA R-31,99,971,0.101956745623069
2017-2018,08,CHAFFEE,0500,SALIDA R-32,143,1196,0.11956521739130435
2017-2018,09,CHEYENNE,0510,KIT CARSON R-1,0,100,0
2017-2018,09,CHEYENNE,0520,CHEYENNE COUNTY RE-5,62,165,0.37575757575757573
2017-2018,10,CLEAR CREEK,0540,CLEAR CREEK RE-1,254,737,0.344640434192673
2017-2018,11,CONEJOS,0550,NORTH CONEJOS RE-1J,297,1028,0.28891050583657585
2017-2018,11,CONEJOS,0560,SANFORD 6J,26,346,0.07514450867052024
2017-2018,11,CONEJOS,0580,SOUTH CONEJOS RE-10,28,181,0.15469613259668508
2017-2018,12,COSTILLA,0640,CENTENNIAL R-1,33,196,0.1683673469387755
2017-2018,12,COSTILLA,0740,SIERRA GRANDE R-30,152,264,0.5757575757575758
2017-2018,13,CROWLEY,0770,CROWLEY COUNTY RE-1-J,87,440,0.19772727272727272
2017-2018,14,CUSTER,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,114,371,0.30727762803234504
2017-2018,15,DELTA,0870,DELTA COUNTY 50(J),1026,4735,0.21668426610348468
2017-2018,16,DENVER,0880,DENVER COUNTY 1,31469,86863,0.3622831355122434
2017-2018,17,DOLORES,0890,DOLORES COUNTY RE NO.2,61,225,0.27111111111111114
2017-2018,18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,7375,65786,0.11210591919253336
2017-2018,19,EAGLE,0910,EAGLE COUNTY RE 50,1447,6663,0.21716944319375656
2017-2018,20,ELBERT,0920,ELIZABETH SCHOOL DISTRICT,302,2335,0.12933618843683084
2017-2018,20,ELBERT,0930,KIOWA C-2,55,240,0.22916666666666666
2017-2018,20,ELBERT,0940,BIG SANDY 100J,48,296,0.16216216216216217
2017-2018,20,ELBERT,0950,ELBERT 200,66,212,0.3113207547169811
2017-2018,20,ELBERT,0960,AGATE 300,0,4,0
2017-2018,21,EL PASO,0970,CALHAN RJ-1,154,428,0.3598130841121495
2017-2018,21,EL PASO,0980,HARRISON 2,3560,11771,0.30243819556537255
2017-2018,21,EL PASO,0990,WIDEFIELD 3,1609,9258,0.17379563620652408
2017-2018,21,EL PASO,1000,FOUNTAIN 8,1867,7982,0.23390127787521925
2017-2018,21,EL PASO,1010,COLORADO SPRINGS 11,10658,26751,0.39841501252289635
2017-2018,21,EL PASO,1020,CHEYENNE MOUNTAIN 12,300,5084,0.059008654602675056
2017-2018,21,EL PASO,1030,MANITOU SPRINGS 14,276,1361,0.20279206465833946
2017-2018,21,EL PASO,1040,ACADEMY 20,3044,25444,0.11963527747209558
2017-2018,21,EL PASO,1050,ELLICOTT 22,329,964,0.3412863070539419
2017-2018,21,EL PASO,1060,PEYTON 23 JT,259,603,0.4295190713101161
2017-2018,21,EL PASO,1070,HANOVER 28,71,255,0.2784313725490196
2017-2018,21,EL PASO,1080,LEWIS-PALMER 38,610,6461,0.09441262962389722
2017-2018,21,EL PASO,1110,DISTRICT 49,4060,21078,0.1926178954359996
2017-2018,21,EL PASO,1120,EDISON 54 JT,23,220,0.10454545454545454
2017-2018,21,EL PASO,1130,MIAMI/YODER 60 JT,0,279,0
2017-2018,22,FREMONT,1140,CANON CITY RE-1,333,3555,0.09367088607594937
2017-2018,22,FREMONT,1150,FREMONT RE-2,475,1346,0.35289747399702825
2017-2018,22,FREMONT,1160,COTOPAXI RE-3,60,197,0.30456852791878175
2017-2018,23,GARFIELD,1180,ROARING FORK RE-1,886,5442,0.16280779125321573
2017-2018,23,GARFIELD,1195,GARFIELD RE-2,1175,4644,0.25301464254952627
2017-2018,23,GARFIELD,1220,GARFIELD 16,522,1076,0.4851301115241636
2017-2018,24,GILPIN,1330,GILPIN COUNTY RE-1,187,447,0.41834451901565994
2017-2018,25,GRAND,1340,WEST GRAND 1-JT,128,406,0.31527093596059114
2017-2018,25,GRAND,1350,EAST GRAND 2,93,1243,0.07481898632341111
2017-2018,26,GUNNISON,1360,GUNNISON WATERSHED RE1J,394,1998,0.1971971971971972
