school_year,county_code,county_name,district_code,district_name,absentee_students,total_students,chronically_absent_rate
2018-2019,36,LAS ANIMAS,1590,PRIMERO REORGANIZED 2,35,177,0.1977401129943503
2018-2019,36,LAS ANIMAS,1600,HOEHNE REORGANIZED 3,59,371,0.15902964959568733
2018-2019,36,LAS ANIMAS,1620,AGUILAR REORGANIZED 6,9,104,0.08653846153846154
2018-2019,36,LAS ANIMAS,1750,BRANSON REORGANIZED 82,10,468,0.021367521367521368
2018-2019,36,LAS ANIMAS,1760,KIM REORGANIZED 88,7,43,0.16279069767441862
2018-2019,37,LINCOLN,1780,GENOA-HUGO C113,28,188,0.14893617021276595
2018-2019,37,LINCOLN,1790,LIMON RE-4J,62,469,0.13219616204690832
2018-2019,37,LINCOLN,1810,KARVAL RE-23,7,42,0.16666666666666666
2018-2019,38,LOGAN,1828,VALLEY RE-1,414,2127,0.19464033850493653
2018-2019,38,LOGAN,1850,FRENCHMAN RE-3,3,182,0.016483516483516484
2018-2019,38,LOGAN,1860,BUFFALO RE-4J,52,303,0.1716171617161716
2018-2019,38,LOGAN,1870,PLATEAU RE-5,14,153,0.0915032679738562
2018-2019,39,MESA,1980,DE BEQUE 49JT,82,163,0.5030674846625767
2018-2019,39,MESA,1990,PLATEAU VALLEY 50,46,428,0.10747663551401869
2018-2019,39,MESA,2000,MESA COUNTY VALLEY 51,4815,21245,0.22664156272064015
2018-2019,40,MINERAL,2010,CREEDE SCHOOL DISTRICT,42,95,0.4421052631578947
2018-2019,41,MOFFAT,2020,MOFFAT COUNTY RE:NO 1,452,2119,0.21330816422840962
2018-2019,42,MONTEZUMA,2035,MONTEZUMA-CORTEZ RE-1,1128,2686,0.4199553239017126
2018-2019,42,MONTEZUMA,2055,DOLORES RE-4A,85,655,0.1297709923664122
2018-2019,42,MONTEZUMA,2070,MANCOS RE-6,118,451,0.2616407982261641
2018-2019,43,MONTROSE,2180,MONTROSE COUNTY RE-1J,1110,5852,0.18967874231032125
2018-2019,43,MONTROSE,2190,WEST END RE-2,58,249,0.23293172690763053
2018-2019,44,MORGAN,2395,BRUSH RE-2(J),238,1399,0.1701215153681201
2018-2019,44,MORGAN,2405,FORT MORGAN RE-3,491,3175,0.15464566929133858
2018-2019,44,MORGAN,2505,WELDON VALLEY RE-20(J),22,190,0.11578947368421053
2018-2019,44,MORGAN,2515,WIGGINS RE-50(J),79,610,0.12950819672131147
2018-2019,45,OTERO,2520,EAST OTERO R-1,365,1400,0.26071428571428573
2018-2019,45,OTERO,2530,ROCKY FORD R-2,163,764,0.21335078534031413
2018-2019,45,OTERO,2535,MANZANOLA 3J,47,139,0.3381294964028777
2018-2019,45,OTERO,2540,FOWLER R-4J,110,387,0.2842377260981912
2017-2018,45,OTERO,2560,CHERAW 31,NA,NA,NA
2018-2019,45,OTERO,2570,SWINK 33,49,344,0.14244186046511628
2018-2019,46,OURAY,2580,OURAY R-1,74,164,0.45121951219512196
2018-2019,46,OURAY,2590,RIDGWAY R-2,64,331,0.1933534743202417
2018-2019,47,PARK,2600,PLATTE CANYON 1,139,820,0.16951219512195123
2018-2019,47,PARK,2610,PARK COUNTY RE-2,226,624,0.36217948717948717
2018-2019,48,PHILLIPS,2620,HOLYOKE RE-1J,61,577,0.10571923743500866
2018-2019,48,PHILLIPS,2630,HAXTUN RE-2J,11,316,0.03481012658227848
2018-2019,49,PITKIN,2640,ASPEN 1,536,1646,0.32563791008505466
2018-2019,50,PROWERS,2650,GRANADA RE-1,35,197,0.17766497461928935
2018-2019,50,PROWERS,2660,LAMAR RE-2,428,1468,0.29155313351498635
2018-2019,50,PROWERS,2670,HOLLY RE-3,23,281,0.08185053380782918
2018-2019,50,PROWERS,2680,WILEY RE-13 JT,26,215,0.12093023255813953
2018-2019,51,PUEBLO,2690,PUEBLO CITY 60,4997,15621,0.31988989181230393
2018-2019,51,PUEBLO,2700,PUEBLO COUNTY 70,2084,9717,0.21446948646701658
