school_year,county_code,county_name,district_code,district_name,absentee_students,total_students,chronically_absent_rate
2021-2022,45,OTERO,2535,Manzanola 3J,67,163,0.411
2021-2022,45,OTERO,2540,Fowler R-4J,153,388,0.394
2021-2022,45,OTERO,2560,Cheraw 31,86,238,0.361
2021-2022,45,OTERO,2570,Swink 33,93,306,0.304
2021-2022,46,OURAY,2580,Ouray R-1,78,200,0.39
2021-2022,46,OURAY,2590,Ridgway R-2,67,342,0.196
2021-2022,47,PARK,2600,Platte Canyon 1,242,874,0.277
2021-2022,47,PARK,2610,Park County RE-2,273,631,0.433
2021-2022,48,PHILLIPS,2620,Holyoke Re-1J,160,568,0.282
2021-2022,48,PHILLIPS,2630,Haxtun RE-2J,36,351,0.103
2021-2022,49,PITKIN,2640,Aspen 1,774,1691,0.458
2021-2022,50,PROWERS,2650,Granada RE-1,64,206,0.311
2021-2022,50,PROWERS,2660,Lamar Re-2,531,1640,0.324
2021-2022,50,PROWERS,2670,Holly RE-3,86,290,0.297
2021-2022,50,PROWERS,2680,Wiley RE-13 Jt,33,274,0.12
2021-2022,51,PUEBLO,2690,Pueblo City 60,8951,15788,0.567
2021-2022,51,PUEBLO,2700,Pueblo County 70,3482,10833,0.321
2021-2022,52,RIO BLANCO,2710,Meeker RE-1,124,760,0.163
2021-2022,52,RIO BLANCO,2720,Rangely RE-4,196,514,0.381
2021-2022,53,RIO GRANDE,2730,Upper Rio Grande School District C-7,131,410,0.32
2021-2022,53,RIO GRANDE,2740,Monte Vista C-8,334,1126,0.297
2021-2022,53,RIO GRANDE,2750,Sargent RE-33J,89,335,0.266
2021-2022,54,ROUTT,2760,Hayden RE-1,97,459,0.211
2021-2022,54,ROUTT,2770,Steamboat Springs RE-2,421,2395,0.176
2021-2022,54,ROUTT,2780,South Routt RE 3,132,361,0.366
2021-2022,55,SAGUACHE,2790,Mountain Valley RE 1,22,138,0.159
2021-2022,55,SAGUACHE,2800,Moffat 2,129,233,0.554
2021-2022,55,SAGUACHE,2810,Center 26 JT,155,662,0.234
2021-2022,56,SAN JUAN,2820,Silverton 1,16,86,0.186
2021-2022,57,SAN MIGUEL,2830,Telluride R-1,215,705,0.305
2021-2022,57,SAN MIGUEL,2840,Norwood R-2J,77,207,0.372
2021-2022,58,SEDGWICK,2862,Julesburg Re-1,328,742,0.442
2021-2022,58,SEDGWICK,2865,Revere School District,39,142,0.275
2021-2022,59,SUMMIT,3000,Summit RE-1,1757,3795,0.463
2021-2022,60,TELLER,3010,Cripple Creek-Victor RE-1,210,349,0.602
2021-2022,60,TELLER,3020,Woodland Park Re-2,661,1903,0.347
2021-2022,61,WASHINGTON,3030,Akron R-1,83,431,0.193
2021-2022,61,WASHINGTON,3040,Arickaree R-2,8,114,0.07
2021-2022,61,WASHINGTON,3050,Otis R-3,63,196,0.321
2021-2022,61,WASHINGTON,3060,Lone Star 101,13,130,0.1
2021-2022,61,WASHINGTON,3070,Woodlin R-104,25,83,0.301
2021-2022,62,WELD,3080,Weld County RE-1,608,1972,0.308
2021-2022,62,WELD,3085,Eaton RE-2,542,2031,0.267
2021-2022,62,WELD,3090,Weld County School District RE-3J,941,2899,0.325
2021-2022,62,WELD,3100,Weld RE-4,2349,8604,0.273
2021-2022,62,WELD,3110,Johnstown-Milliken RE-5J,947,3906,0.242
2021-2022,62,WELD,3120,Greeley 6,10458,23176,0.451
2021-2022,62,WELD,3130,Platte Valley RE-7,250,1114,0.224
2021-2022,62,WELD,3140,Weld Re-8 Schools,959,2654,0.361
2021-2022,62,WELD,3145,Ault-Highland RE-9,441,1107,0.398
2021-2022,62,WELD,3146,Briggsdale RE-10,43,186,0.231
2021-2022,62,WELD,3147,Prairie RE-11,20,185,0.108
2021-2022,62,WELD,3148,Pawnee RE-12,21,75,0.28
2021-2022,63,YUMA,3200,Yuma 1,296,916,0.323
2021-2022,63,YUMA,3210,Wray RD-2,159,770,0.206
2021-2022,63,YUMA,3220,Idalia RJ-3,5,188,0.027
2021-2022,63,YUMA,3230,Liberty J-4,7,67,0.104
