school_year,county_code,county_name,district_code,district_name,absentee_students,total_students,chronically_absent_rate
2021-2022,01,ADAMS,0010,Mapleton 1,3655,9341,0.391
2021-2022,01,ADAMS,0020,Adams 12 Five Star Schools,13957,36978,0.377
2021-2022,01,ADAMS,0030,Adams County 14,3423,6599,0.519
2021-2022,01,ADAMS,0040,School District 27J,8478,21469,0.395
2021-2022,01,ADAMS,0050,Bennett 29J,619,1345,0.46
2021-2022,01,ADAMS,0060,Strasburg 31J,359,1267,0.283
2021-2022,01,ADAMS,0070,Westminster Public Schools,4250,8861,0.48
2021-2022,02,ALAMOSA,0100,Alamosa RE-11J,685,2294,0.299
2021-2022,02,ALAMOSA,0110,Sangre De Cristo Re-22J,70,253,0.277
2021-2022,03,ARAPAHOE,0120,Englewood 1,1087,2406,0.452
2021-2022,03,ARAPAHOE,0123,Sheridan 2,517,1269,0.407
2021-2022,03,ARAPAHOE,0130,Cherry Creek 5,17059,55979,0.305
2021-2022,03,ARAPAHOE,0140,Littleton 6,2688,14108,0.191
2021-2022,03,ARAPAHOE,0170,Deer Trail 26J,88,317,0.278
2021-2022,03,ARAPAHOE,0180,Adams-Arapahoe 28J,17384,39997,0.435
2021-2022,03,ARAPAHOE,0190,Byers 32J,1823,6727,0.271
2021-2022,04,ARCHULETA,0220,Archuleta County 50 Jt,831,1785,0.466
2021-2022,05,BACA,0230,Walsh RE-1,27,159,0.17
2021-2022,05,BACA,0240,Pritchett RE-3,17,71,0.239
2021-2022,05,BACA,0250,Springfield RE-4,105,293,0.358
2021-2022,05,BACA,0260,Vilas RE-5,5,209,0.024
2021-2022,05,BACA,0270,Campo RE-6,5,58,0.086
2021-2022,06,BENT,0290,Las Animas RE-1,350,859,0.407
2021-2022,06,BENT,0310,McClave Re-2,13,88,0.148
2021-2022,07,BOULDER,0470,St Vrain Valley RE1J,9254,31476,0.294
2021-2022,07,BOULDER,0480,Boulder Valley Re 2,6875,29705,0.231
2021-2022,08,CHAFFEE,0490,Buena Vista R-31,292,1095,0.267
2021-2022,08,CHAFFEE,0500,Salida R-32,365,1295,0.282
2021-2022,09,CHEYENNE,0510,Kit Carson R-1,13,102,0.127
2021-2022,09,CHEYENNE,0520,Cheyenne County Re-5,20,202,0.099
2021-2022,10,CLEAR CREEK,0540,Clear Creek RE-1,232,733,0.317
2021-2022,11,CONEJOS,0550,North Conejos RE-1J,440,1027,0.428
2021-2022,11,CONEJOS,0560,Sanford 6J,106,314,0.338
2021-2022,11,CONEJOS,0580,South Conejos RE-10,32,155,0.206
2021-2022,12,COSTILLA,0640,Centennial R-1,150,214,0.701
2021-2022,12,COSTILLA,0740,Sierra Grande R-30,87,286,0.304
2021-2022,13,CROWLEY,0770,Crowley County RE-1-J,108,420,0.257
2021-2022,14,CUSTER,0860,Custer County School District C-1,104,387,0.269
2021-2022,15,DELTA,0870,Delta County 50(J),1774,5003,0.355
2021-2022,16,DENVER,0880,Denver County 1,39781,92170,0.432
2021-2022,17,DOLORES,0890,Dolores County RE No.2,118,264,0.447
2021-2022,18,DOUGLAS,0900,Douglas County Re 1,13191,65420,0.202
2021-2022,19,EAGLE,0910,Eagle County RE 50,2326,7009,0.332
2021-2022,20,ELBERT,0920,Elizabeth School District,634,2467,0.257
2021-2022,20,ELBERT,0930,Kiowa C-2,117,289,0.405
2021-2022,20,ELBERT,0940,Big Sandy 100J,56,354,0.158
2021-2022,20,ELBERT,0950,Elbert 200,92,292,0.315
2021-2022,20,ELBERT,0960,Agate 300,22,95,0.232
2021-2022,21,EL PASO,0970,Calhan RJ-1,110,476,0.231
2021-2022,21,EL PASO,0980,Harrison 2,5528,13847,0.399
2021-2022,21,EL PASO,0990,Widefield 3,3526,10245,0.344
2021-2022,21,EL PASO,1000,Fountain 8,2685,9335,0.288
2021-2022,21,EL PASO,1010,Colorado Springs 11,10999,24170,0.455
2021-2022,21,EL PASO,1020,Cheyenne Mountain 12,785,3822,0.205
2021-2022,21,EL PASO,1030,Manitou Springs 14,422,1399,0.302
2021-2022,21,EL PASO,1040,Academy 20,5994,27352,0.219
2021-2022,21,EL PASO,1050,Ellicott 22,304,1071,0.284
2021-2022,21,EL PASO,1060,Peyton 23 Jt,138,608,0.227
2021-2022,21,EL PASO,1070,Hanover 28,102,304,0.336
2021-2022,21,EL PASO,1080,Lewis-Palmer 38,1061,6878,0.154
2021-2022,21,EL PASO,1110,District 49,8786,26379,0.333
2021-2022,21,EL PASO,1120,Edison 54 JT,13,142,0.092
2021-2022,21,EL PASO,1130,Miami/Yoder 60 JT,89,378,0.235
2021-2022,22,FREMONT,1140,Canon City RE-1,1417,3419,0.414
2021-2022,22,FREMONT,1150,Fremont RE-2,684,1442,0.474
2021-2022,22,FREMONT,1160,Cotopaxi RE-3,70,204,0.343
2021-2022,23,GARFIELD,1180,Roaring Fork RE-1,1988,5483,0.363
2021-2022,23,GARFIELD,1195,Garfield Re-2,2007,5005,0.401
2021-2022,23,GARFIELD,1220,Garfield 16,412,1323,0.311
2021-2022,24,GILPIN,1330,Gilpin County RE-1,166,455,0.365
2021-2022,25,GRAND,1340,West Grand 1-JT,129,407,0.317
2021-2022,25,GRAND,1350,East Grand 2,221,1366,0.162
2021-2022,26,GUNNISON,1360,Gunnison Watershed RE1J,768,2159,0.356
2021-2022,27,HINSDALE,1380,Hinsdale County RE 1,25,90,0.278
2021-2022,28,HUERFANO,1390,Huerfano Re-1,309,557,0.555
2021-2022,28,HUERFANO,1400,La Veta Re-2,71,207,0.343
2021-2022,29,JACKSON,1410,North Park R-1,78,199,0.392
2021-2022,30,JEFFERSON,1420,Jefferson County R-1,30614,80642,0.38
2021-2022,31,KIOWA,1430,Eads RE-1,19,168,0.113
2021-2022,31,KIOWA,1440,Plainview RE-2,12,129,0.093
2021-2022,32,KIT CARSON,1450,Arriba-Flagler C-20,26,152,0.171
2021-2022,32,KIT CARSON,1460,Hi-Plains R-23,28,159,0.176
2021-2022,32,KIT CARSON,1480,Stratton R-4,32,238,0.134
2021-2022,32,KIT CARSON,1490,Bethune R-5,40,113,0.354
2021-2022,32,KIT CARSON,1500,Burlington RE-6J,228,817,0.279
2021-2022,33,LAKE,1510,Lake County R-1,289,978,0.296
2021-2022,34,LA PLATA,1520,Durango 9-R,2049,5899,0.347
2021-2022,34,LA PLATA,1530,Bayfield 10 Jt-R,591,1352,0.437
2021-2022,34,LA PLATA,1540,Ignacio 11 JT,397,671,0.592
2021-2022,35,LARIMER,1550,Poudre R-1,10548,29597,0.356
2021-2022,35,LARIMER,1560,Thompson R2-J,4665,15945,0.293
2021-2022,35,LARIMER,1570,Estes Park R-3,521,1119,0.466
2021-2022,36,LAS ANIMAS,1580,Trinidad 1,208,520,0.4
2021-2022,36,LAS ANIMAS,1590,Primero Reorganized 2,27,250,0.108
2021-2022,36,LAS ANIMAS,1600,Hoehne Reorganized 3,89,326,0.273
2021-2022,36,LAS ANIMAS,1620,Aguilar Reorganized 6,27,119,0.227
2021-2022,36,LAS ANIMAS,1750,Branson Reorganized 82,4,527,0.008
2021-2022,36,LAS ANIMAS,1760,Kim Reorganized 88,9,32,0.281
2021-2022,37,LINCOLN,1780,Genoa-Hugo C113,31,214,0.145
2021-2022,37,LINCOLN,1790,Limon RE-4J,95,483,0.197
2021-2022,37,LINCOLN,1810,Karval RE-23,5,43,0.116
2021-2022,38,LOGAN,1828,Valley RE-1,558,2056,0.271
2021-2022,38,LOGAN,1850,Frenchman RE-3,22,223,0.099
2021-2022,38,LOGAN,1860,Buffalo RE-4J,87,319,0.273
2021-2022,38,LOGAN,1870,Plateau RE-5,11,165,0.067
2021-2022,39,MESA,1980,De Beque 49JT,115,196,0.587
2021-2022,39,MESA,1990,Plateau Valley 50,138,318,0.434
2021-2022,39,MESA,2000,Mesa County Valley 51,8386,22169,0.378
2021-2022,40,MINERAL,2010,Creede School District,34,81,0.42
2021-2022,41,MOFFAT,2020,Moffat County RE: No 1,849,2225,0.382
2021-2022,42,MONTEZUMA,2035,Montezuma-Cortez RE-1,1401,2853,0.491
2021-2022,42,MONTEZUMA,2055,Dolores RE-4A,43,688,0.063
2021-2022,42,MONTEZUMA,2070,Mancos Re-6,166,516,0.322
2021-2022,43,MONTROSE,2180,Montrose County RE-1J,3324,6151,0.54
2021-2022,43,MONTROSE,2190,West End RE-2,161,281,0.573
2021-2022,44,MORGAN,2395,Brush RE-2(J),397,1464,0.271
2021-2022,44,MORGAN,2405,Fort Morgan Re-3,994,3550,0.28
2021-2022,44,MORGAN,2505,Weldon Valley RE-20(J),42,199,0.211
2021-2022,44,MORGAN,2515,Wiggins RE-50(J),180,778,0.231
2021-2022,45,OTERO,2520,East Otero R-1,649,1431,0.454
2021-2022,45,OTERO,2530,Rocky Ford R-2,397,712,0.558
